Word,Definition,Sentence,Pronunciation
몸값,"赎金 (--) / [EN] market value, worth (of a person); ransom",손흥민의 몸값이 천억 원이 넘는다고 하네요. (听说孙兴慜的身价超过一千亿韩元。),몸깝
주체,"主导 (主體) / [EN] subject, main agent, entity that acts",저는 이번 프로젝트에서 주체적으로 역할을 맡았어요. (我在这次项目中主动承担了角色。),
접근이 잦다,"经常靠近 (接近---) / [EN] access/approach occurs frequently, to be approached often",이 산책로는 야생동물의 접근이 잦아 주의가 필요하다. (这条步道野生动物经常靠近，需要注意。),접근이 잗따
분발하다,"努力 (奮發--) / [EN] to exert oneself, to work harder, to buck up, to make an effort",신홍 씨가 이번엔 좀 더 분발해줬으면 좋겠어. (希望信鸿这次能再加把劲。),
노골적이다,"露骨的 (露骨的--) / [EN] blunt, explicit, unconcealed, straightforward","그는 승진을 위해 상사에게 노골적으로 아부를 했다. (他为了升职,毫不掩饰地向上司拍马屁。)",노골쩌기다
물 차다,"淹水 (---) / [EN] to be filled with water, to flood","장마철에 엘리베이터에 물이 차서 운행이 중단됐어요. (梅雨季节电梯进水,停止运行了。)",
불궁드리다,"上供祈福 (佛供----) / [EN] to pray earnestly, to make a religious offering (dialectal variant of 불공드리다)",할머니는 매일 새벽마다 손자의 건강을 위해 불궁드리셨다. (奶奶每天凌晨都虔诚祈祷孙子的健康。),
짚고 넘어가다,先说清楚 (------) / [EN] to point out and clarify something before moving on; to address an issue first,그 부분은 짚고 넘어가야 할 것 같아요. (那部分应该先厘清后再继续。),집꼬 너머가다
짚다,"指出/点明 (--) / [EN] to prop/lean on with (a cane, hand); to point out, guess, pinpoint; to take a pulse",의사는 손목을 짚어 맥을 확인했다. (医生按住手腕确认了脉搏。),집따
입을 벌리다,"张开嘴巴 (-----) / [EN] to open one's mouth, to gape","의사가 ""입을 크게 벌려 보세요""라고 말했다. (医生说：“请把嘴张大一点。”)",이블 벌리다
흐름,"趋势/走向 (--) / [EN] flow, current, trend",원가 흐름이 바뀌었다. (成本走势变了。),
바뀌다,"改变 (---) / [EN] to be changed, to be switched, to be replaced",원가 흐름이 바뀌었다. (成本走势变了。),
경황이 없어서,"没有心思 (景況----) / [EN] to have no presence of mind, no time or mental space to think of/do anything else; overwhelmed",몸이 아파서 다른 생각을 할 경황이 없었어. (身体不舒服，没有心思去想别的事情。),경황이 업써서
다문화 가정,多元文化家庭 (多文化 家庭) / [EN] multicultural family,우리 동네에는 다문화 가정이 점점 늘어나고 있어요. (我们社区的多元文化家庭正在逐渐增多。),
무척,"非常 (--) / [EN] very, extremely, exceedingly",학교 강의를 듣는 데 무척 도움이 되어서 비교적 어려움 없이 생활할 수 있다. (听学校的课对我非常有帮助，所以我能相对没有困难地生活。),
