Word,Definition,Sentence,Pronunciation
잘 되다,"顺利 / 成功 / 变得很好 (---) / [EN] To go well, to be successful",사랑과 존중으로 면접관들을 보면 진짜 잘 됩니다. (用爱与尊重去看待面试官的话，事情真的会很顺利。),
내가 옳다,"我是对的 / 自以为是 (---) / [EN] To be right, to be self-righteous",우리에게 필요한 건 내가 옳다가 아니라 친절함입니다. (我们需要的是善良，而不是争论谁是对的。),내가 올타
억제하다,"抑制 / 克制 (抑制) / [EN] To suppress, to restrain",명상은 생각을 억제하는 것이 아닙니다. (冥想并不是要抑制思想。),억쩨하다
알아차리다,"察觉 / 觉察 / 发觉 (---) / [EN] To notice, to realize, to become aware of",명상의 진짜 원리는 바라보기와 알아차림입니다. (冥想真正的原理是观察和觉察。),아라차리다
다스리다,"治理 / 调理 / 控制 (---) / [EN] To manage, to soothe, to govern",부정적 감정을 다스리려면 몸을 다스려야 합니다. (想要调理负面情绪，就必须先调理好身体。),
심장 박동,"心脏搏动 (心臟搏動) / [EN] Heartbeat, heart rate",심장 박동을 다섯 가지 구역으로 나눴을 때 두 번째 영역은 매우 중요합니다. (当把心跳分为五个区域时，第二个区域非常重要。),심장 박똥
덤이다,"赠送的 / 额外的好处 (---) / [EN] To be a bonus, to be an extra",몸이 건강해지는 건 덤이고 마음 근력 향상에 큰 도움이 됩니다. (身体变健康只是附带的福利，这对提高心理韧性有很大帮助。),더미다
편도체,杏仁核 (扁桃體) / [EN] Amygdala,편도체는 감정을 조절하는 뇌의 핵심 컨트롤 타워입니다. (杏仁核是大脑调节情绪的核心控制塔。),
원어치,价值...的 (---) / [EN] Worth of,시장 할머니께서 콩나물을 천 원어치 샀는데 한 움큼을 덤으로 더 주셨다. (市场奶奶卖给我一千韩元的豆芽，还额外抓了一把当作赠品送给我。),워너치
인정 욕구,"认可需求 / 认同感需求 (認定欲求) / [EN] Desire for recognition, need for validation",인정 욕구는 인간의 자연스러운 감정입니다. (认可需求是人类的一种自然情感。),인정 욕꾸
비디오,"视频 / 录像 (---) / [EN] Video, clear as day (idiom)",여러분들 비트코인 계좌 상태 안 봐도 비디오입니다. (你们的比特币账户状态，不用看也知道是什么样了。),
멘탈이 남다,"还有精神余力 / 还能保持理智 (---) / [EN] To maintain one's sanity, to keep composure",6만 불 턱걸이하고 있으니 멘탈이 남아나겠습니까? (都在6万美元边缘挣扎了，怎么可能还保持得住理智呢？),멘타리 남따
투심,"投资心理 (投資心理) / [EN] Investor sentiment, market sentiment",이게 바로 투심의 문제입니다. (这就是投资心理的问题所在。),
가볍다라고 볼 수 없는 하락,"不可忽视的下跌 / 重大下跌 (---) / [EN] A significant drop, a sharp decline",이번 급락은 가볍다라고 볼 수 없는 하락입니다. (这次暴跌是不可忽视的重大下跌。),가볍따라고 볼 쑤 엄는 하락
조현정,赵显定 (趙顯定) / [EN] Cho Hyun-jung (Chairman of Bit Computer),IT 벤처 1세대인 조현정 회장은 한국 소프트웨어 산업의 개척자입니다. (第一代IT风投人赵显定会长是韩国软件产业的先驱。),
