Word,Definition,Sentence,Pronunciation
관불,浴佛 (灌佛) / [EN] Bathing the Buddha ritual,스님들과 신도들은 경건한 마음으로 아기 부처님을 씻기는 관불 의식을 진행했습니다. (僧侣和信徒们以虔诚的心情，进行了svg小佛像的浴佛仪式。),
등치,"个头 (等値) / [EN] size, bulk, volume, equivalence",프로그램에 새 기능을 추가했더니 전체 가동 파일의 등치가 살짝 커졌습니다. (往程序里添加了新功能，导致整个运行文件的个头稍微变大了。),
솜씨 장난 아니네,"手艺绝了 / [EN] Your skills are no joke!, Incredible craftsmanship!",오늘 주방장님의 요리 솜씨를 보니 정말 장난이 아니네요. (看了今天厨师长地料理手艺，真是太厉害了。),
긁혔어?,"破防了吗? / [EN] Did that hit a nerve?, Are you triggered?",그는 친구의 가벼운 농담에 완전히 마음이 긁혔는지 한동안 말이 없었습니다. (他似乎被朋友的轻微玩笑彻底戳中了痛处，一个人好一阵子默不作声。),글켜써
대포폰,"黑手机 / [EN] burner phone, phone under a fake identity",불법 사기 범죄를 저지르기 위해 타인의 명의를 도용하여 대포폰을 개통했습니다. (为了非法诈骗犯罪，盗用他人身份开通了黑手机。),
북적북적,"人山人海 / [EN] bustling, crowded, lively",명절을 맞은 시장은 제수용품을 사러 나온 사람들로 하루 종일 북적북적했습니다. (迎来节日的市场，一整天都挤满了出来买祭祀用品的人，人山人海。),북쩍뿍쩍
터트리다,"大获成功 / [EN] make a big hit, hit the jackpot, explode",그 공격수는 경기 종료 직전 멋진 결승골을 터트리며 팀을 승리로 이끌었습니다. (那位前锋在比赛结束前踢进了精彩的决胜球，带领球队走向了胜利。),
육지,"陆地 (陸地) / [EN] land, mainland",오랜 항해 끝에 마침내 저 멀리 푸른 지평선 너머로 반가운 육지가 모습을 드러냈습니다. (经历了长时间的航海，终于远远地在地平线那头露出了令人高兴的陆地的模样。),육찌
대마 잡다,"屠龙 / [EN] kill a large group of stones, capture the big fish, neutralize the core threat",우리 수사 팀은 오랜 잠복 끝에 마침내 보이스피싱 조직의 총책을 체포하며 사건의 대마를 잡았습니다. (我们侦查队经过长期的潜伏，终于逮捕了诈骗组织的总负责人， 전격적으로 핵심 거물을 제압해 냈습니다。),대마 잡따
불소기 처분,"不起诉处分 (不起訴處分) / [EN] non-prosecution disposition, decision not to prosecute",검찰은 피의자의 혐의를 입증할 증거가 부족하다고 판단하여 불기소 처분을 내렸습니다. (检察机关判断用于证实嫌疑的证据不足，最终作出了不起诉处分。),
낯이 익어,"面熟 / [EN] look familiar, recognize someone",길을 걷다가 어디선가 본 듯이 낯이 익은 얼굴의 사람과 눈이 마주쳤습니다. (在路上走着，眼神刚好与一位看起来相当面熟的人对视了。),나치 이거
까짓것,"那算什么 / [EN] It's no big deal!, Let's just do it!","그것참 어려운 과제 같지만, 까짓것 밤을 새워서라도 한번 멋지게 완성해 봅시다! (虽然看起来是个很难的课题，但那算什么，哪怕熬夜也要一起把它精彩地完成吧！)",까짇껃
단단히,"严格地 / [EN] tightly, thoroughly, rigorously","내일 미팅은 기업의 생존이 걸린 중대한 분기점이니, 다들 보안 가이드라인을 단단히 확인해 주십시오. (明天的会议是关系到企业生存的重大分水岭，请大家严格地确认保安指南。)",
아사리판,"乱七八糟 / [EN] a complete mess, chaos, shambles",회의실 문을 열자 서로 고성을 지르며 싸우는 바람에 사내 기획 회의가 아주 아사리판이 되어 있었습니다. (一推开会议室的门，因为互相大喊大叫地争吵，公司策划会议已经变成了一片阿修罗场。),
국밥충,"汤饭狂魔 / [EN] cost-effectiveness obsessive, value-for-money monster",그는 파스타 가격을 보더니 또 국밥충처럼 국밥 몇 그릇 가격이냐며 계산을 해댔습니다. (他一看到意面价格，就又像个汤饭狂魔一样，算计着这能换几碗汤饭的价格。),국빱충
