Word,Definition,Sentence
장성급,"将星级 (將星級) / [EN] general officer grade, flag officer level","국방부는 이번 달 말에 대대적인 장성급 인사를 단행할 예정이라고 밝혔다. (国防部表示，计划在本月底进行大规模的将星级人事调整。)"
폐 끼치지 않겠다,"不添麻烦、不给他人带来不便 / [EN] I won't trouble you, I will not burden you","아직 부족한 점이 많지만, 선배님들께 폐 끼치지 않도록 열심히 배우겠습니다. (虽然还有很多不足，但为了不给前辈们添麻烦，我会努力学习的。)"
둥지,"温馨小窝、归宿、鸟巢 / [EN] nest, home, sanctuary","우리 부부는 결혼 3년 만에 드디어 경기도에 아늑한 우리만의 둥지를 마련했다. (我们夫妇结婚三年，终于在京畿道准备好了属于我们自己的温馨小窝。)"
대쪽,"刚正不阿、坚贞不屈 (竹片) / [EN] unyielding integrity, rigid straightness","그 판사는 평생을 대쪽 같은 성품으로 법을 집행하여 동료들의 존경을 받았다. (那位法官一生以刚正不阿的性品执行法律，赢得了同僚们的尊敬。)"
교사,"教师、老师 (敎師) / [EN] teacher, instructor","문제를 일으킨 학생이 오히려 교사를 고소했다. (轴出了问题的学生反而把教师给告了。)"
패륜적,"悖伦的、丧心病狂的 (悖倫的) / [EN] immoral, depraved, anti-humanitarian","재산을 노리고 부모를 상해한 패륜적 범죄에 대해 재판부는 중형을 선고했다. (对于觊觎财产而伤害父母的悖伦犯罪，裁判部判处了重刑。)"
불티나다,"火爆、抢手、销路极快 / [EN] to sell like hotcakes, to fly off the shelves","불티나게 팔리고 있는 보험 상품 있습니다. (有一款正在火爆热销的保险产品。)"
교권,"教权、教师权利 (敎權) / [EN] educational authority, teacher's rights","새내기 교사들 사이에서 교권침해보험 가입은 이제 선택이 아닌 필수가 되었다. (在新手教师之间，购买教权侵犯保险如今已经不是选择而是必需。)"
약관,"条款、格式条款 (約款) / [EN] terms and conditions, policy","보험금 지급 기준은 상품 약관에 명시된 내용을 바탕으로 엄격하게 심사됩니다. (保险金的支付标准是基于商品条款中明确记载的内容进行严格审查的。)"
징계,"处分、惩戒 (懲戒) / [EN] discipline, disciplinary action, punishment","회사의 공금을 개인적으로 유용한 직원은 결국 최고 수위의 징계를 받았다. (挪用公司公款的职员最终受到了最高级别的处分。)"
휘말리다,"卷入、陷入、纠缠 / [EN] to get caught up in, to get entangled in","교원 생활을 하다가 휘말릴 수 있는 일. (在教师生涯中可能会被卷进去的事情。)"
온갖 불미스럽다,"种种不光彩、各式各样丑闻 (不美-) / [EN] all kinds of disgraceful or scandalous matters","온갖 불미스러운 일에 대한 보상과 지원. (对种种不光彩事件的补偿与支援。)"
명령 불복종,"抗命、不服从命令 (命令不服從) / [EN] disobedience of orders, insubordination","그 대리는 부장님의 정당한 업무 지시를 대놓고 거부하여 명령 불복종으로 징계위원회에 회부되었다. (那位代理公然拒绝了部长正当的业务指示，因不服从命令被移交惩戒委员会。)"
옹호하다,"袒护、拥护、维护 (擁護) / [EN] to advocate, to defend, to side with","학생을 옹호해주는 부분이 크기 때문에. (因为袒护学生的部分占了很大比例。)"
업무수행,"履职、执行公务、履行职责 (業務遂行) / [EN] performance of duties, execution of tasks","교원 업무수행 중 생긴 사고로 인해 발생한 법률적 손해를 보상하는 보험. (对教师在履职过程中发生事故而导致的法律损失进行补偿的保险。)"
