Word,Definition,Sentence,Pronunciation
사무총장,秘书长 (事務總長) / [EN] Secretary-General,UN 사무총장이 새로 선출되었다. (联合国秘书长新当选了。),
꼼꼼한 업무 처리,"严谨的业务处理 (---業務處理) / [EN] meticulous handling of work, careful task management",꼼꼼한 업무 처리로 유명하다고 합니다. (听说他以细致的工作处理而闻名。),꼼꼼한 엄무 처리
군복무,"服兵役 (軍服務) / [EN] military service, compulsory military duty",내 동생은 지금 군복무 중이라서 명절에도 집에 못 온다. (我弟弟现在正在服兵役，连过节都不能回家。),군봉무
수학하다,"研修 (修學--) / [EN] to pursue academic studies, to cultivate learning (formal term)",저는 언어학을 수학하기 위해 유학을 결심했습니다. (为了修习语言学，我决定出国留学。),수하카다
열악하다,"恶劣 (劣惡--) / [EN] poor, harsh, unfavorable (conditions)",북아프리카 지역에 있는 국가들의 경제가 너무 열악한 상황 속에서는 발전이 더욱 어렵다. (在北非地区，各国经济状况非常恶劣的情况下，发展就更加困难。),여라카다
열풍,"热潮 (熱風) / [EN] craze, boom, sudden trend",전 세계적으로 AI 열풍이 확산되면서 (随着AI热潮在全球扩散),
확산되다,"扩散 (擴散--) / [EN] to spread, to proliferate",전 세계적으로 AI 열풍이 확산되면서 (随着AI热潮在全球扩散),확싼되다
역임하다,"担任过 (歷任--) / [EN] to have served as, to have held positions successively","주미 대사, 장관 등을 역임하셨습니다. (曾任驻美大使、部长等职务。)",여김하다
철두철미하다,"一丝不苟 (徹頭徹尾--) / [EN] thorough, meticulous, thoroughgoing, from head to toe",업무처리가 철두철미하다. (工作处理得彻头彻尾、非常周全。),
교단,"讲台/教职 (敎壇/敎團) / [EN] teacher's platform, podium; teaching profession / religious order, denomination",저는 아이들을 가르치기 위해 교단에 서기로 결심했어요. (我决定站上讲台去教孩子们。),
발췌,"摘录 (拔萃) / [EN] excerpt, extract, selection",이 책의 중요한 부분을 발췌해서 정리해 봤어요. (我摘录了这本书的重要部分整理了一下。),
밤티,熬夜的样子 (--) / [EN] the tired/sleep-deprived look after staying up all night,밤티 나는 거 보니 어제 잠 못 잤구나. (看你这熬夜的样子，昨晚肯定没睡好。),
추리다,"挑出 (---) / [EN] to select, to pick out, to sort out (the useful ones)",비판을 미뤄 둔 채 생각을 쏟아낸 뒤 쓸 만한 것을 추린다 (先搁置批评，尽情倾倒想法之后，再挑出可用的部分),
고비,"难关 (--) / [EN] crisis, critical juncture, turning point, difficult hurdle",이 프로젝트의 고비를 넘기면 한숨 돌릴 수 있어요. (渡过这个项目的难关就能喘口气了。),
터울,"相差…年出生 (--) / [EN] age gap between siblings, interval between births",그 후 저희 3형제를 2년 터울로 낳고 키우시면서 힘들게 교직 생활을 하셨습니다. (那以后，父母以两年一个的间隔生下我们兄弟三人并抚养长大，同时艰难地从事教师工作。),
