Word,Definition,Sentence,Pronunciation
아수라장,"규정하다 뜻
스페인의 영토를 침해한 공격으로 규정하고자 합니다 (阿修羅場) / [EN] chaos, mayhem, bedlam, scene of utter confusion",폭동까지 벌어지며 도시는 그야말로 아수라장이 됐는데요 (甚至发生了暴动，城市简直变成了一片混乱。),
규정하다,"定义为 (規定--) / [EN] to define, to characterize, to stipulate as",스페인의 영토를 침해한 공격으로 규정하고자 합니다. (打算将其界定为侵犯西班牙领土的攻击行为。),
어굴나다,"感到冤枉/委屈 (----) / [EN] to feel wronged, to feel treated unfairly (dialectal variant of 억울하다)",내가 잘못한 것도 아닌데 혼나서 진짜 어굴나네. (我又没做错却被骂，真的觉得很冤枉。),
뻐근하다,"酸痛 (----) / [EN] to feel stiff/sore (muscles), achy, dull ache",컴퓨터를 오래 써서 목이랑 어깨가 뻐근해요. (用电脑用太久，脖子和肩膀都酸痛。),
활약하다,"大展身手 (活躍--) / [EN] to play an active role, to be active, to distinguish oneself",그 선수는 국가대표팀에서 눈부시게 활약했다. (那位选手在国家队里大显身手。),활야카다
왕성한 활동을 하다,"活跃地进行活动 (旺盛- 活動- --) / [EN] to be very active, to engage in vigorous activity, thriving in one's endeavors",그 가수는 요즘 방송과 콘서트에서 왕성한 활동을 하고 있다. (那位歌手最近在节目和演唱会方面都非常活跃。),
대중적인,"大众化的 (大衆的-) / [EN] popular, mass-oriented, appealing to the general public",대중적인 명성을 얻다 (获得大众声誉/获得广泛的名声),
명성,"声誉 (名聲) / [EN] fame, reputation, renown",대중적인 명성을 얻다 (获得大众声誉/获得广泛的名声),
속임수,"诡计 (---) / [EN] trick, deception, ruse, cheat",그는 카드 게임에서 몰래 속임수를 썼다. (他在纸牌游戏中偷偷耍了诡计。),
헤엄치다,游泳 (----) / [EN] to swim,2시간 이상 헤엄쳐야 하는 거리입니다. (这是需要游泳超过2小时的距离。),
우호적이다,"友好的 (友好的--) / [EN] friendly, amicable, favorable","이민 정책 자체가 지난 얼마 동안은 우호적이었었고, 지금은 조금 달라진 것 같다. (移民政策本身在过去一段时间里曾经是友好的,现在似乎有些不同了。)",우호저기다
지배하다,"统治 (支配--) / [EN] to rule, dominate, control, govern",스페인이 약 400년 동안 지배하고 있는 땅입니다. (这是西班牙统治了约四百年的土地。),
발칸,巴尔干 (---) / [EN] Balkan (region/peninsula in southeastern Europe),과거에는 발칸 반도 또는 헝가리나 이런 쪽을 통해서 이동했다. (过去人们经由巴尔干半岛或匈牙利这类地区迁移。),
의제,"议题 (議題) / [EN] agenda, topic for discussion, issue",이번 회의의 의제는 신제품 출시 계획입니다. (本次会议的议题是新产品上市计划。),
독창성,"原创性 (獨創性) / [EN] originality, creativity, ingenuity",이 작품은 독창성이 돋보인다. (这部作品的独创性很突出。),
