Word,Definition,Sentence,Pronunciation
벽창우,"死脑筋 (碧昌牛) / [EN] a stubborn, obstinate person; blockhead",우리 아빠는 한번 결정하면 절대 안 바꾸는 벽창우예요. (我爸爸一旦决定了就绝不改变，真是个死脑筋。),
좀이 쑤시다,"手痒 (-----) / [EN] to be itching to do something, to feel restless, unable to sit still",주말 내내 집에만 있었더니 몸이 근질근질해서 좀이 쑤셔요. (整个周末都待在家里，浑身痒痒的，坐立不安。),조미 쑤시다
가르키다,指/教(非标准混用词) (----) / [EN] nonstandard colloquial blend of 'to point at' (가리키다) and 'to teach' (가르치다),선생님이 칠판을 가리키며 학생들에게 문법을 가르치고 계세요. (老师指着黑板，正在教学生们语法。),
하는 경향이 있다,"有…的倾向 (--傾向---) / [EN] tend to do something, have a tendency to do",한국인들은 본인을 희생하면서 일을 하는 경향이 있는 것 같아요. (韩国人似乎往往会在牺牲自己的情况下工作。),하는 경향이 읻따
일에 모든 걸 쏟다,"全心投入工作 (-------) / [EN] to pour everything into work, to devote oneself entirely to something",일에 모든 걸 쏟으려고 하지 않는 것 같아요. (看起来他好像不打算把所有精力都投入到工作中。),일에 모든 걸 쏟따
들여다보다,"重新审视 (-----) / [EN] to look into, to peer into, to examine closely",이 오래된 원칙과 문화를 다시 들여다보기 시작하게 된 걸까요? (是不是开始重新审视这个古老的原则和文化了呢?),
모순적,"但是矛盾的是/讽刺的是 (矛盾的) / [EN] contradictory, paradoxical, ironic",그런데 모순적으로 바로 집 앞에 신발 가게는 문을 닫았다. (然而讽刺的是，就在家门口的鞋店却关门了。),
불려가다,"被叫去 (----) / [EN] to be summoned (to go somewhere), to be called in",불려갔다는 건 좀 큰 거죠. 직접 온 거면 작은 일인데. (被叫过去的话事情就比较大了，如果是自己主动来的话那就是小事),
장대비,"倾盆大雨 (---) / [EN] torrential rain, downpour, pouring rain",서류 수정하고 있는 동안에 갑자기 장대비가 막 내리는 거예요. (在修改文件的时候，突然下起了倾盆大雨。),
장대,"长杆 (長-) / [EN] long pole, rod, staff",마당에 있는 장대에 빨래를 널었다. (把衣服晾在院子里的长竿上。),
보슬비,"毛毛雨 (---) / [EN] drizzle, light rain, fine misty rain",오늘 아침에 보슬비가 내려서 우산 없이도 괜찮았어요. (今天早上下著毛毛雨，即使沒有雨傘也沒關係。),
토닥토닥하다,"拍拍(以示安慰) (------) / [EN] to pat gently, to comfort by patting",팀장님 같이 기다렸다가 소주 한잔하고 토닥토닥하고 (等团队领导一起，喝了杯烧酒，然后互相拍拍安慰。),
자학하다,"自责 ｛自虐} (自虐--) / [EN] to torment oneself, to be self-deprecating, self-blame","뒤에 가서 왜 그랬을까 자학하고 후회했다. (事后一直自责,后悔当初为什么那样做。)",자하카다
급차선 변경,突然换lane/突然变道 (急車線變更) / [EN] sudden/abrupt lane change,급차선 변경은 위험하다 (突然变道很危险),
어우러지다,"融合 (-----) / [EN] to blend together, to harmonize, to mingle naturally",다양한 직장인들이 어우러져서 직장 생활을 하는 곳이에요. (这是一个各种各样的上班族融洽相处、共同工作生活的地方。),
