Word,Definition,Sentence,Pronunciation
터파기,"挖土 (---) / [EN] excavation (for foundation), earthwork, digging",토목공사 측에서 터파기 물량을 파악하고 있습니다. (土木工程方在核算挖土工程量。),
사생활,"隐私 (私生活) / [EN] private life, privacy",사생활을 존중해 주세요. (请尊重我的隐私。),
사람을 상대하다,"应对(人)，跟人打交道 (---相對--) / [EN] to deal with people, to interact with or handle people (professionally)",의사는 사람을 상대해야 하는 서비스직이지요. (医生也是需要应对人的服务行业。),사라믈 상대하다
발간되다,"发行 (發刊--) / [EN] to be published, to be issued",매달 발간되는 한 경제 잡지를 구독하고 있다. (我订阅了一本每月发行的经济杂志。),
놓이다,"被放到， 处于 (---) / [EN] to be placed, to be put in a situation, to be situated",낯선 환경에 놓이게 되면 '집에 가고 싶다'는 생각이 먼저 든다. (身处陌生的环境时，首先浮现的想法就是想回家。),노이다
복리후생,"员工福利 (福利厚生) / [EN] employee benefits, welfare benefits, fringe benefits",이 회사는 연봉도 높고 복리후생도 훌륭해서 지원하고 싶어요. (这家公司薪水高，员工福利也很好，我想申请。),봉니후생
자아실현,"展现自我 (自我實現) / [EN] self-actualization, self-realization",그는 높은 연봉보다 자아실현을 이룰 수 있는 직업을 선택했다. (比起高薪，他选择了能实现自我价值的职业。),자아실련
갖추다,"准备/具备 (---) / [EN] to prepare, to equip, to have ready, to be equipped with",여행 가기 전에 필요한 서류와 짐을 모두 갖췄어요. (出发旅行前，把需要的文件和行李都准备齐全了。),갇추다
경제적 자립,"经济独立 (經濟的 自立) / [EN] financial independence, economic self-reliance",저는 서른 살이 되기 전에 경제적 자립을 이루고 싶어요. (我希望在三十岁之前实现经济独立。),
제각각이다,"各不相同 (-各各--) / [EN] to be all different, to vary individually, each one different",이심 개통 정책도 통신사마다 제각각이고 요금도 다 달라요. (每家电信公司的eSIM开通政策都各不相同，费用也都不一样。),제각까기다
지구본,"地球仪 (地球本) / [EN] globe, world globe, model of the Earth","한 발톱에는 지구본을 들고 있고, 다른 발톱에는 십자가를 들고 있거든요. (一只爪子拿着地球仪，另一只爪子拿着十字架。)",
십자가,"十字架 (十字架) / [EN] cross, crucifix","한 발톱에는 지구본을 들고 있고, 다른 발톱에는 십자가를 들고 있거든요. (一只爪子拿着地球仪，另一只爪子拿着十字架。)",십짜가
두루마리,"纸卷 (----) / [EN] roll (of paper or cloth), scroll",입에 두루마리를 이렇게 물고 있어요. (它就这样把卷筒纸叼在嘴里。),
끈질기다,"顽强 (----) / [EN] persistent, tenacious, dogged, stubbornly persevering",불독처럼 <i>끈질긴</i> 승부욕 덕분에 그 개는 학교 공식 마스코트로 선택되었다. (那只狗因为像斗牛犬一样顽强的胜负欲，被选为学校的官方吉祥物。),
뽕 뽑다,"值回票价 (----) / [EN] to get one's money's worth, to make the most of what one paid for",어제 뷔페 가서 완전 뽕 뽑았어. (昨天去自助餐厅吃回本了。),뽕 뽑따
