Word,Definition,Sentence
만년 적자 기업,"长期亏损企业、万年赤字企业 (萬年 赤字 企業) / [EN] a chronically deficit-ridden enterprise, a perennially loss-making company","과거의 한전은 정부 눈치 보느라 요금도 못 올리는 만년 적자 기업이었습니다. (过去的韩전因看政府脸色连费用都无法上调，是一家长期亏损的企业。)"
빚더미,"债台高筑、债务如山 / [EN] a mountain of debt, deep in debt","그는 주식 신용 거래와 무리한 대출로 무모한 투자를 감행했다가, 결국 하루아침에 차가운 빚더미에 올라앉게 되었다. (他因股票信用交易和勉强的贷款进行了盲目投资，最终一夜之间债台高筑了。)"
개정 폭탄,"条例修订/政策改定带来的沉重打击 (改定 炸彈) / [EN] a bomb of revised regulations, explosive increases from rate revisions","실손보험의 갱신 주기와 요율 개정 폭탄 때문에, 가입자들은 혜택은 줄고 매달 내야 하는 보험료만 두 배로 뛰었다며 분통을 터뜨렸다. (由于医疗险的更新周期和费率改定炸弹，投保人门愤慨地表示优惠减少了，每月的保费却翻了一番。)"
미제 사건,"悬案、未结案件 (未濟 事件) / [EN] cold case, unsolved case","경찰은 20년 전 발생한 유괴사건의 실마리를 찾기 위해, 당시의 증거물들을 최첨단 DNA 기법으로 재분석하며 미제 사건 해결에 총력을 기울였다. (警察为了寻找20年前发生的绑架案的线索，用最尖端DNA技术重新分析了当时的证据，倾注了全力解决悬案。)"
눈에 밟히다,"历历在目、牵肠挂肚、在眼前阿伦 / [EN] to haunt one's memory, to keep appearing before one's eyes","어머니는 군대에 입대하는 막내아들의 야윈 뒷모습이 자꾸 눈에 밟혀, 기차역을 떠나지 못하고 한참 동안 눈물을 흘리셨다. (母亲看着入伍的小儿子的瘦弱的背影总是在眼前阿伦(挂念)，没能离开火车站留下了很久的眼泪。)"
짓밟다,"践踏、蹂躏、摧残 / [EN] to trample underfoot, to crush, to violate someone's rights","성공이라는 달콤한 열매를 따기 위해 남을 짓밟고 올라서는 행위는 결코 진정한 성공이라 부를 수 없다. (为了摘取成功这一甜美的果实而践踏他人往上爬的行为，绝不能称之为真正的成功。)"
마구,"乱、胡乱、狠狠地 / [EN] carelessly, recklessly, mercilessly","술에 취한 남성이 식당 기물을 마구 부수며 난동을 부리자, 주인이 즉시 경찰에 신고했다. (醉酒的男子狠狠地砸碎食堂器物耍赖，主人立即向警察报警了。)"
흐뭇,"欣慰、满足、称心如意 / [EN] gratified, pleased, satisfied, heartwarming","한 달 동안 땀 흘려 가꾼 텃밭에서 싱싱한 채소들을 수확하니 가슴이 정말 흐뭇했다. (看到在一个月期间流汗耕耘的菜园里收获到了新鲜的蔬菜，心里真的感到很欣慰。)"
큰소리를 치다,"吹牛、大放厥词、说大话 / [EN] to talk big, to brag, to boast","지가 잘못해 놓고 오히려 큰소리를 치네? (明明是自己做错了，反而倒打一耙大喊大叫？)"
한없이,"无限地、无止境地、无比 / [EN] endlessly, infinitely, boundlessly","실패를 겪고 나니 내 자신이 한없이 초라해 보였다. (经历失败后，发现自己显得无比得寒酸和渺小。)"
단서,"线索、附加条款、但书 (端緖 / 但書) / [EN] clue, lead, proviso, saving clause","경찰은 현장 CCTV를 샅샅이 뒤진 끝에, 용의자의 도주 경로를 파악할 수 있는 결정적인 단서를 확보했다. (警察在仔细搜查现场CCTV后，掌握了能够把握嫌疑人逃跑路线的决定性线索。)"
증거 인멸,"毁灭证据、湮灭证据 (證據 湮滅) / [EN] destruction of evidence, tampering with evidence","검찰의 압수수색 직전, 해당 기업의 비서실 직원들이 하드디스크를 디가우징하며 조직적인 증거 인멸을 시도한 정황이 포착되었다. (在检察机关扣押搜查直前，该企业的秘书室职员们进行了硬盘磁气销毁，捕捉到了有组织地试图毁灭证据的情况。)"
물 고이다,"积水、资金积累 / [EN] water pooling, to start accumulating funds","한전의 재무구조가 이제야 물 고이는 독이 됐습니다. (韩电的财务结构现在才终于变成了能积水(资金积累)的缸。)"
독,"缸、大水缸 / [EN] a large earthenware jar, earthen pot","어머니는 겨울철이 되면 직접 담근 김장 김치를 마당에 묻어둔 커다란 독 안에 차곡차곡 채워 넣으셨다. (母亲到了冬季就会把亲自腌制的越冬泡菜叠叠地放进埋在院子里的大缸里面。)"
밑빠진,"漏底的、破底的、漏洞百出的 / [EN] bottomless, leaky, having a hole in the bottom","수익 모델이 부실한 상황에서 마케팅 비용만 무리하게 지출하는 것은, 결국 밑빠진 자루에 소금을 담는 격이다. (在盈利模式不足的情况下只勉强支出营销费用，最终相当于在漏底的袋子里装盐。)"
