Word,Definition,Sentence,Pronunciation
뚝딱거리다,敲敲打打 (-----) / [EN] to make repeated tapping/hammering/knocking sounds; to bang away at something,아빠가 마당에서 뚝딱거리며 나무 의자를 만들고 있어요. (爸爸在院子里叮叮咚咚地敲着做木椅子。),
오글거리다,"矫情 (-----) / [EN] to cringe, to feel embarrassed by something cheesy or overly sentimental",둘이 진짜 오글거리게 애정표현 하네. (两个人晒恩爱太尬了。),
취업문 닫히다,就业无门/就业机会关闭 (就業門 ---) / [EN] employment opportunities closing/shrinking (metaphor),"취업문도, 창업문도 닫혀버린 청년들의 현실을 정준호 기자가 취재했습니다. (郑俊浩记者采访了就业之门、创业之门都已关闭的青年们的现实处境。)",취업문 다치다
풀리다,"顺利/进展顺利 (---) / [EN] to be untied, to be solved, to work out well, to ease up","취업이 잘 풀리지 않아 마음이 답답했지만, 결국 좋은 소식이 들려왔어요. (找工作一直不顺利让人心里烦闷，但最终传来了好消息。)",
치솟다,"飙升 (---) / [EN] to soar, to shoot up, to skyrocket","치솟는 인건비 등을 감당하기 어려워 폐업을 결정했다. (因为难以承受飙升的人工费等原因,决定停业。)",치솓따
취업난,"就业困难 (就業難) / [EN] difficulty finding employment, job shortage crisis",취업난을 겪는 청년들에게 창업은 또 다른 기회로 꼽힙니다. (对于经历就业难的青年人来说，创业被视为另一种机会。),취엄난
빈약하다,"贫乏 (貧弱--) / [EN] poor, meager, scanty, weak, thin",하지만 부족한 경험과 빈약한 자본에 내수 부진 등이 겹치면서 어려움을 겪었다 (但是经验不足和资本薄弱，加上内需低迷等因素叠加，遭遇了困难),
박히다,"嵌入/卡进 (---) / [EN] to be stuck, embedded, or driven into something; (idiomatic, esp. 미운털이 박히다) to be disliked, to fall out of favor",대체 애플은 어쩌다 이렇게 미운털이 박힌 걸까요? (苹果到底是怎么变得这么惹人厌的呢？),바키다
미운털,"被讨厌/被针对 (--) / [EN] hair, fur; (idiom) being disliked, in someone's bad books",실수 한 번 했다고 상사한테 미운털이 박혔어요. (犯了一次错就被上司针对了),
고질적,"根深蒂固的 (固疾的) / [EN] chronic, deep-rooted, inveterate",이른바 '사이클'이 고질적인 문제였는데요. (所谓的“循环”问题其实就是根深蒂固的老毛病。),고질쩍
요동치다,"剧烈波动 (搖動--) / [EN] to fluctuate wildly, to shake violently, to swing dramatically",그때마다 반도체 업체들의 실적도 크게 요동쳤고요. (每次都会导致半导体企业的业绩剧烈波动。),
