Word,Definition,Sentence,Pronunciation
뽕,毒品/冰毒(俚语) (-) / [EN] mulberry leaf; (slang) padding/stuffing; (slang) drug/meth,경찰이 그의 방에서 <b>뽕</b>을 발견했다. (警察在他房间里发现了毒品。),
조속히,"尽快 (早速-) / [EN] promptly, as soon as possible, without delay",고객님의 문의사항을 조속히 처리해 드리겠습니다. (我们会尽快处理您的咨询事项。),조소키
지중해 요리,"地中海料理 (地中海 料理) / [EN] Mediterranean cuisine, Mediterranean food",나는 주말마다 지중해 요리를 만들어 먹는 걸 좋아해. (我喜欢每个周末做地中海料理来吃。),
대대손손,"代代相传 (代代孫孫) / [EN] from generation to generation, for generations",그러면서 이 총은 대대손손 물려줘서 가문의 자랑이 되었다. (与此同时，这把枪代代相传，成了家族的骄傲。),
폐사하다,"病死（家畜） (斃死--) / [EN] to die off (livestock/animals), to perish",그리고 닭들도 키우고 있었는데 닭들도 뜨거워서 폐사하고 있었어요. (而且他们也养了鸡，但鸡也因为太热而暴斃了。),페사하다
차마,"不忍心/ 不敢（开口） (--) / [EN] cannot bring oneself to, cannot bear to (do something)",차마 말을 못 하겠구나 (实在不忍心把话说出口啊。),
췌장암,胰脏癌 (膵臟癌) / [EN] pancreatic cancer,췌장암 말기가 돼서야 발견하셨어요. (直到胰腺癌晚期才被发现。),
임기응변 능력,"随机应变能力 (臨機應變 能力) / [EN] ability to improvise, adaptability, quick-wittedness",위기 상황에서는 임기응변 능력이 중요하다. (在危机情况下，随机应变的能力很重要。),임기응변 능녁
규정 위반,"违反规则 (規定違反) / [EN] violation of regulations, breach of rules",신호를 위반하는 것은 명백한 규정 위반이다. (闯红灯明显违反了规定。),
인생이 갈리다,人生出现转折 (人生----) / [EN] one's life takes a different path; fate diverges; a turning point splits destinies,그 순간부터 두 사람의 인생이 갈렸다. (从那一刻起，两人的人生就此分岔。),
끊어 읽기,断句朗读法 (----) / [EN] reading in chunks/phrases; pausing at meaningful breaks while reading,끊어 읽기를 연습하면 문장 구조를 더 잘 이해할 수 있어요. (练习断句阅读可以帮助你更好地理解句子结构。),끄너 일끼
장녀로 태어났다,是长女， 身为长女 (長女-----) / [EN] to be born as the eldest daughter,저는 삼 남매 중 장녀로 태어났다. (我在三兄妹中生为长女。),장녀로 태어낟따
강인한 체력을 쌓다,"锻炼强健的体力 (强靭- 體力- --) / [EN] to build strong stamina, to develop physical resilience",매일 꾸준히 운동해서 강인한 체력을 쌓았다. (每天坚持运动，锻炼出了强健的体力。),강인한 체려글 싸타
이완,"放松，舒缓 (弛緩) / [EN] relaxation, loosening, slackening",불안의 반대는 이완이다. (焦虑的反面是放松。),
통계를 내보면,统计一下的话 (統計----) / [EN] if you calculate/tally the statistics; when you work it out statistically,제가 통계를 내보면 20분도 아니고 항상 15분!!! (根据我统计，不是20分钟，而是每次都是15分钟！！！),통게를 내보면
