Word,Definition,Sentence,Pronunciation
밑돌다,"低于、不及 / [EN] to fall short of, to be below",PBR은 0.3배를 밑돌고 있습니다. (PBR正低于0.3倍。),믿똘다
짭짤하다,"收益可观的、油水很大的 / [EN] profitable, lucrative, yielding a tidy profit",과거 한전은 짭짤한 배당금 주는 쏠쏠한 배당주 였습니다. (过去韩电曾是给出发售可观红利的、还算不错的红利股。),
덩치,"规模、体量、大块头 / [EN] scale of an organization, corporate size, physical volume",한전의 덩치가 너무 커서 요금 인상 시 물가에 미치는 파급력이 막강합니다. (由于韩电的体量太大，上调费用时对物价带来的波及效果非常强大。),
난동을 부리다,"大闹、捣乱、撒野 / [EN] to create a disturbance, to go on a rampage, to make a scene",여기서 난동을 부린대요. (听说有人在这里大闹呢。),
기동대,"机动队、暴乱镇压部队 (機動隊) / [EN] police riot police, tactical unit, mobile police squad",경찰 기동대 등 경력 470명 동원 (动员了警察机动队等470名警力),
주연,"主演、主角 (主演) / [EN] leading role, main character",드라마의 주연 배우가 갑작스러운 부상으로 하차하게 되었습니다. (电视剧的主角演员因突然受伤而退出了。),
조연,"助演、配角 (助演) / [EN] supporting role, supporting actor/actress",이때로는 주연보다 조연이 빛날 때가 있습니다. (这就像是有时候配角会比主角更加闪耀。),
겉절이,"鲜拌泡菜、凉拌生菜 / [EN] fresh kimchi, unfermented kimchi salad","칼국수를 빛내주는 겉절이, 회냉면의 조연으로 곁들이는 명태 회무침 (让刀切面大放异彩的鲜拌泡菜，以及作为生鱼片冷面配角一同衬托的明太鱼生鱼片拌菜)",걷쩌리
어릴 적,"小时候、童年时期 / [EN] in one's childhood, when one was young",어릴 적 자주 듣는 질문. 엄마가 좋아? 아빠가 좋아? (小时候经常听到的提问：喜欢妈妈？还是喜欢爸爸？),어릴 쩍
하트를 날리다,"大秀爱心、狂抛飞吻、极力示好 / [EN] blowing hearts, sending finger hearts, expressing enthusiastic support",젠슨 황이 네이버클라우드를 하트까지 날려가며 극찬한 이유가 무엇일까요? (黄仁勋连连大秀爱心并极力称赞Naver Cloud的原因究竟是什么呢？),
물자,"物资 (物資) / [EN] goods, supplies, strategic materials",구하기 어려운 전략 물자였으니까요. (因为那是很难弄到的战略物资啊。),물짜
낙점하다,"选中、钦点 (落點) / [EN] to select, to single out, to handpick",네이버클라우드가 엔비디아의 최종 비즈니스 파트너로 낙점한 이유입니다. (这就是Naver Cloud被选中为英伟达最终业务合作伙伴的原因。),낙쩜하다
누비다,"纵横、穿梭、活跃在 / [EN] to roam, to scour, to crisscross",공장 바닥을 누비고 창고에서 물건 나르고 하며 청춘을 바쳤습니다. (又是纵横在工厂地面上，又是从仓库里搬运物件，以此奉献了青春。),
가까이 두다,"放在身边、保持亲近 / [EN] to keep someone close, to place nearby",친하니까 가까이 둔다. 가까이 두니까 진짜 친해진다. (因为亲近才会放在身边，放在身边才会真正变得亲近。),
자루,"袋子、包囊 / [EN] a sack, bag",밑 빠진 자루에 소금을 담는 격인 무모한 사업은 당장 중단해야 합니다. (必须立刻停止无异于向漏底的袋子里装盐的盲目业务。),
무모하다,"盲目、鲁莽、无谋 (無謀하다) / [EN] reckless, rash, foolhardy",충분한 시장 조사 없는 무모한 투자는 파멸을 초래할 뿐입니다. (没有进行充分市场调研的盲目投资只会带来毁灭。),
