Word,Definition,Sentence
빗금,"斜线 (斜線) / [EN] Slash, diagonal line","오늘 해야 할 일을 다 끝내고 메모장에서 하나씩 빗금을 쳤다. (做完今天该做的事后，我在备忘录上把它们一个个划掉了。)"
내면소통,"内心沟通 / 自我对话 (内面疎通) / [EN] Intrapersonal communication, inner dialogue, self-talk","내면소통에 대해 연구하고 마음 근력 훈련을 강의하시는 연세대 교수님이십니다. (是一位研究内心沟通并讲授心灵肌力训练的延世大学教授。)"
사당오락,"四当五落 / 四成五败 (四當五落) / [EN] Four hours of sleep passes, five fails","라떼는 사당오락이라 해서 밤새워 공부했어. (我当年的那个时候，大家都说是‘四当五落’，所以都是通宵学习的。)"
말리다,"受牵连 / 陷入对方步调 / 劝阻 / 晾干 (---) / [EN] To get caught up in, to lose one's pace / to stop someone / to dry","면접관의 압박 질문에 완전히 말렸어. (完全陷入了面试官的施压提问的步调中了。)"
생사람,"无辜的人 / 枉死者 (生---) / [EN] An innocent person, a blameless person","확실한 증거도 없으면서 괜히 생사람 잡지 마. (在没有确凿证据的情况下，别平白无故地冤枉好人。)"
촉법,"触法 / 违法 (觸法) / [EN] Violation of law, juvenile exempt from criminal liability","이번 사건의 범인들이 촉법소년이라는 이유로 훈방 조치되었다. (这起案件的罪犯们因为是触法少年而受到了训诫释放处分。)"
훈장 조치,"训诫释放 [‘훈방 조치’的听力误写] (訓放措置) / [EN] Release with a warning, cautioning","그 사람 경찰서 가더니 훈장 조치(훈방 조치) 받고 나왔대. (听说那个人去了警察局之后，受到了训诫释放就出来了。)"
도용하다,"盗用 / 冒用 (盜用---) / [EN] To steal an account, to identity theft, to misappropriate","누군가 제 계정을 도용해서 지인들에게 가짜 메시지를 보냈어요. (有人盗用了我的账号，给我的熟人们发了假消息。)"
인정 중독,"认可中毒 / 渴求认同症 (認定中毒) / [EN] Approval addiction, recognition addiction, validation dependency","인정 중독은 자신의 가치를 스스로 증명하지 못하고 인정에 의존적으로 되는 상태를 말합니다. (认可中毒是指无法自己证明自身的价值，而变得依赖于他人认可的状态。)"
기성 세대,"既成世代 / 老一代 (既成世代) / [EN] The older generation, the establishment","기성세대와 젊은 세대 사이의 갈등을 해결해야 한다. (必须解决既成世代与年轻一代之间的冲突。)"
기분이 다운되다,"心情低落 / 情绪下滑 (---) / [EN] To feel down, to feel blue, to get low","그 다음엔 관심을 못 받으면 기분이 쭉 다운되고 맙니다. (在那之后如果得不到关注，心情就会一下子变得非常低落。)"
짜릿하다,"爽快 / 刺激 / 触电般的喜悦 (---) / [EN] Thrilling, electrifying, exhilarating","타인에게 인정을 받았을 때 더 짜릿한 쾌감을 느끼게 됩니다. (当得到他人的认可时，会感受到更加爽快刺激的快感。)"
지율성,"自律性 [‘자율성’的听力误写] (自律性) / [EN] Autonomy, self-regulation, independence","아이들이 스스로 행동할 수 있도록 자율성을 길러줘야 됩니다. (应该培养孩子们的自律性，让他们能够自主行动。)"
습관이 들다,"养成习惯 / 习惯成自然 (習慣---) / [EN] To form a habit, to fall into a routine","다 커서도 부모님 같은 존재한테 인정받으려는 습관이 든 겁니다. (即使长大了，也养成了想要从像父母一样存在的人那里获得认可的习惯。)"
마음 근육,"心灵肌肉 / 心理韧性 (---) / [EN] Mental muscle, emotional resilience, psychological stamina","인생을 비할 수 있을 마음 근육을 연구하는 연세대학교 교수. (研究可以与人生相媲美的心灵肌肉的延世大学教授。)"
