Word,Definition,Sentence,Pronunciation
게딱지,"螃蟹壳 (----) / [EN] crab shell, crab carapace; (figuratively) a tiny cramped space",게딱지에 밥 비벼 먹는 거는 정말 별미예요. (把饭拌在蟹壳里吃真的是一道美味。),
딱지,痂 (--) / [EN] scab; paper flip-card (game); ticket/fine; label,"어제 과속으로 딱지를 뗐는데, 벌금이 생각보다 많이 나왔어요. (昨天因为超速被开了罚单，罚款比想象中多。)",
캔모,取消动作 (--) / [EN] cancel motion (a fighting-game technique of canceling an attack animation into another move),연습 모드에서 캔모 타이밍부터 익혀야 돼. (要先在练习模式熟悉取消动作的时机。),
난생 처음이다,有生以来第一次 (-生 -- --) / [EN] for the first time in one's life,이렇게 매운 음식은 난생 처음이에요. (这么辣的食物我这辈子还是第一次吃到。),
난생,"有生以来 (難生) / [EN] since birth; in one's whole life (usu. in '난생처음', 'for the first time ever')",나는 난생처음 스키를 타 봤다. (我有生以来第一次滑雪。),
에누리,"折扣/减价 (---) / [EN] discount, markdown; exaggeration in speech",이 가게는 정찰제라서 에누리 사양입니다. (这家店是定价制，不接受讨价还价。),
쪼잔해 보이다,"显得小气 (------) / [EN] to look/seem stingy, to appear petty or small-minded","내 동료가 커피 한 잔 값도 정확히 나눠 달라고 해서 좀 쪼잔해 보였어. (我同事连一杯咖啡钱都要精确平分,显得有点小气。)",
티격태격,"争吵不休 (----) / [EN] to bicker, to squabble, to quarrel over trivial matters",성격이 맞지 않는 사람들과 티격태격하며 지내다 보면 오히려 정이 들기도 해요. (跟性格不合的人虽然常常拌嘴，但相处久了反而会产生感情。),
간선,"主线 (幹線) / [EN] main line, trunk line, arterial route",서울의 간선버스는 주요 도로를 따라 빠르게 운행돼요. (首尔的干线巴士沿着主要道路快速行驶。),
나답다,"有我的风格 (----) / [EN] like oneself, true to oneself, characteristic of one",이건 '나다운 AI'다 라고 이야기할 수 있을 것 같은데요. (我觉得可以说这是‘像我风格的AI’。),나답따
불좌상,"佛坐像 (佛坐像) / [EN] a seated Buddha statue, Buddha image in sitting posture",저 불좌상은 자기가 미래에 CT 찍게 될 거 알았을까? (那尊坐佛像知道自己未来会被拍CT吗？),
발맞추다,"跟上(步伐) (----) / [EN] to keep pace with, to align with, to coordinate with","디지털 시대에 발맞춰서 디지털 보존 과학 시스템이라는 것을 만들었다. (为了跟上数字时代的步伐,建立了名为""数字保存科学系统""的东西。)",발맏추다
효자 항목,"拿手项目 (孝子項目) / [EN] a consistently high-performing item/category, cash cow, flagship event",양궁은 사실 오래 전부터 우리나라를 대표하는 효자 종목이잖아요. (其实很久以前射箭就已经是代表我们国家的王牌项目了。),
실외기,空调室外机 (室外機) / [EN] outdoor unit (of an air conditioner),새벽 1시가 넘었는데도 땀이 나고 장난 아니에요. 실외기 앞에 있는 듯한 느낌이었거든요. (已经过了凌晨一点，还是满头大汗，简直了。感觉就像站在空调室外机前面一样。),시뢰기
