Word,Definition,Sentence,Pronunciation
현무,"玄武 (玄武) / [EN] Black Tortoise, a mythical guardian of the north"," ""그 벽화에 나오는 그 현무인 거죠. (那幅壁画上出现的就是那个玄武吧。)""",
통화,货币 / 通话 (通貨/通話) / [EN] currency / telephone call," ""통화 배송 아니죠. 폭탄 배송이죠. (不是货币配送，而是炸弹般的大量派送。)""",
초토화시키다,"夷为平地 / 彻底摧毁 (焦土化---) / [EN] to devastate, to raze to the ground"," ""초토화시키는 걸 목표로 하기 때문에 한두 발 아니라 수십 발을 쏘는 거. (因为目标是彻底摧毁，所以不是射击一两发而是发射数十发。)""",
고가치 표적,高价值目标 (高價値 標的) / [EN] High-Value Target (HVT)," ""HVT라고 고가치 표적을 타격하는 임무입니다. (这是打击被称为HVT的高价值目标的任务。)""",
흩어지다,"分散 / 散开 (---) / [EN] to scatter, to disperse, to spread out"," ""그러면 들어가면서 공중에서 다시 흩어지거든요. (那么它在进入的同时会在空中再次散开。)""",흐터지다
요격,"拦截 / 迎击 (迎擊) / [EN] interception, to intercept a missile"," ""그렇게 되면은 요격할 목표가 되게 많아지다. (这样一来，需要拦截的目标就会变得非常多。)""",
공격,"攻击 / 进攻 (攻擊) / [EN] attack, assault, offense"," ""아군은 적의 요새를 기습 공격했다. (我军向敌人的要塞发起了奇袭攻击。)""",
대항하다,"对抗 / 抵抗 (對抗---) / [EN] to oppose, to resist, to counter"," ""그거에 대항할 수 있는 뭔가가 필요했는데. (曾需要能够与之相对抗的某种东西。)""",
비닉,"秘匿 / 绝密 (秘匿) / [EN] classified, top-secret, covert project"," ""근데 이게 워낙 비닉 사업으로 진행을 되다 보니까. (但是因为这个项目本来就是作为绝密项目推进的。)""",
낙진,放射性落尘 / 核落尘 (落塵) / [EN] radioactive fallout," ""방사능의 낙진 없이 적의 체제를 무력화할 수 있는 거. (可以在没有放射性落尘的情况下使敌方体制瘫痪。)""",낙찐
위력,"威力 / 破坏力 (威力) / [EN] power, might, destructive power"," ""가장 위력이 높은 무기를 선택했고. (选择威力最大的武器。)""",
벙커,"地下掩体 / 堡垒 / 벙커 (---) / [EN] bunker, underground shelter"," ""지하 100m 벙커 거기를 이제 관통할 수 있다. (现在可以贯穿地下100米的那个地下掩体了。)""",
마음 놓고 드라마를 보다,毫无顾虑地看电视剧 (---) / [EN] to watch a drama with a peace of mind," ""'이제 마음 좀 놓고 드라마를 봐야겠다' 했는데. (本想着'现在终于可以心无旁骛地看看电视剧了'。)""",마음 노코 드라마를 보다
숙달되다,"熟练 / 娴熟 (熟達---) / [EN] to become proficient, to master a skill"," ""너무 숙달되고 너무 훌륭한 연기자들. (非常熟练且非常优秀的演员们。)""",숙딸되다
대여섯,"五六个 / 大约五六 (---) / [EN] about five or six, five to six"," ""그는 대여섯 명의 친구들과 함께 자리에 참석했다. (他和五六个朋友一起出席了活动。)""",대여섣
