Word,Definition,Sentence,Pronunciation
직선적,"直截了当的 / 直率的 (直線的) / [EN] straightforward, direct, blunt"," ""그냥 직선적으로 생각을 하지만 말할 때는 조심스러워요. (虽然只是直截了当地去思考，但说话时会很小心。)""",직썬적
매파적,"鹰派的 / 强硬的 (---) / [EN] hawkish, aggressive"," ""이번에 금리에 대한 그 FOMC가 좀 매파적이었고 그래서 이제 하향 돌파를 하면서 시장이 흔들렸다. (这次关于利率的FOMC有些鹰派，所以跌破了支撑线，市场随之动荡。)""",
바닥을 맞추다,"准确预测最低点 / 抄底 (---) / [EN] to time the market bottom, to predict the lowest point"," ""우리가 사실은 그 바닥을 맞추는 건 되게 어렵습니다. (我们实际上很难准确预测到那个市场底部。)""",바다글 맏추다
상투,"最高点 / 发髻 (---) / [EN] market top, absolute peak / traditional topknot"," ""가장 비쌀 때 사서 물리는 것을 '상투를 잡았다'고 표현합니다. (在最贵的时候买入结果被套牢，会被形容为'抓住了发髻(买在了最高点)'。)""",
매집하다,"买进 / 吸筹 (買集--) / [EN] to accumulate, to buy up, to hoard assets"," ""우리가 사실은 매집해야 되는 기간은 지금처럼 관심도도 좀 떨어지고 가격이 낮을 때입니다. (我们实际上需要建仓吸筹的时期，正是像现在这样关注度下降、价格低落的时候。)""",매지파다
구심점,"核心 / 向心点 (求心點) / [EN] focal point, center of gravity, nucleus"," ""그 나라는 세계의 구심점으로 다시 바뀌고 있다. (那个国家正在重新转变为世界的中心轴。)""",구심쩜
태환화폐,"兑换货币 (兌換貨幣) / [EN] convertible currency, gold-backed currency"," ""태환화폐는 일정한 실물자산으로 교환 가능한 화폐이다. (兑换货币是指可以兑换成一定实物资产的货币。)""",
불환화폐,"不兑换纸币 / 法定货币 (不換貨幣) / [EN] fiat money, inconvertible currency"," ""불환화폐는 금이나 은으로 교환해 주지 않는 화폐이다. (不兑换纸币是指不能兑换成金或银的货币。)""",
몽타주,"外貌 / 拼凑画像 / 蒙太奇 (---) / [EN] looks, facial appearance / composite sketch / montage"," ""그냥 몽타주인데 성격은 아주 부드러운 사람이야. (虽然光看长相有点凶，但性格是个非常温柔的人。)""",
허접하다,"差劲 / 质量低劣 / 菜鸟 (---) / [EN] shoddy, clumsy, incompetent"," ""실력이 허접한 사람이라고 무시하면 안 된다. (不能因为是实力很差的菜鸟就轻视人家。)""",허저파다
엎치락뒤치락,"难分胜负 / 龙争虎斗 / 翻来覆去 (---) / [EN] neck and neck, see-saw game, tossing and turning"," ""두 팀이 아슬아슬 엎치락뒤치락 경쟁을 벌이고 있다. (两支队伍正展开着惊险万分、难分胜负的激烈竞争。)""",업치락뛰치락
엎치다,颠倒 / 事情重叠 (---) / [EN] to overturn / to happen on top of another," ""회사 일로 힘든데 엎친 데 덮친 격으로 감기까지 걸렸다. (公司的工作已经很累了，雪上加霜的是竟然还感冒了。)""",업치다
떼다,"学完 / 掌握 / 撕开 / 开具 (---) / [EN] to master, complete / to detach / to issue"," ""우리 조카는 벌써 한글을 다 뗐다. (我侄子已经把韩文全都学完了。)""",
뒤처지다,"落后 / 滞后 (---) / [EN] to fall behind, to lag behind"," ""우리는 여기에 비해서 살짝 뒤처졌다고 이제 알려져 있거든요. (据了解，相比这里，我们已经稍微落后了一点。)""",
밀리터리 덕후,"军事迷 / 军迷 (---) / [EN] military geek, military enthusiast"," ""밀리터리 덕후들한테 현무 파이브는 최고의 관심사이다. (对于军事迷来说，玄武-5是核心关注焦点。)""",
