Word,Definition,Sentence
가성비,"性价比 (价格對比性能) / [EN] cost-effectiveness, value for money","이 식당은 만 원밖에 안 하는데 반찬이 10가지나 나와서 가성비가 진짜 좋아. (这家餐厅只要일만 원, 하지만 소반찬이 10가지나 나와서 性价比真的很不错。)"
할 거 다 하다,"样样都做，该做的全做了 / [EN] to do everything one wants, to not miss a single thing","그 사람은 회사 사정이 어려운데도 휴가는 할 거 다 챙겨 가더라고요. (那个人虽說公司情况很难, 但假期倒是一天不落地全歇了。)"
삐끼,"拉客仔，扒手 (호객꾼) / [EN] barker, tout, shill","동대문 옷가게 삐끼들 때문에 기가 다 빨렸어. (因为东大门服装店的拉客仔们, 내氣精力都被吸干了。)"
일찌감치,"早就，早早地 / [EN] ahead of time, well in advance","이번 연말 여행 숙소는 일찌감치 예약해 두는 게 좋을 거예요. (今年年末旅游的住宿最好还是早早地预订好比较好。)"
대박을 치다,"大获成功，爆红 / [EN] to hit the jackpot, to make a huge hit","인도네시아 시장을 타깃으로 한 전략이 제대로 대박을 쳤네요. (瞄准印度尼西亚市场的战略真是彻底爆红了呢。)"
무모하다,"盲目的，鲁莽的 (無謀--) / [EN] reckless, rash, foolhardy","충동적으로 전 재산을 올인하는 건 무모한 투자에 불과합니다. (冲动地把全部财产押上去, 充其量只是盲目的投资。)"
담배를 권하다,"递烟，劝烟 (--勸--) / [EN] to offer a cigarette","한국의 직장 문화에서는 상사가 담배를 권하더라도 비흡연자라면 솔직하게 거절하는 것이 좋습니다. (在韩国的职场文化中, 纵使上司递烟, 如果是非吸烟者, 坦率地拒绝也是很好的。)"
면면,"每个人，各个成员 (面面) / [EN] each and every one, lineup, profile of the members","수상자들의 면면을 보니 올해 심사 기준이 얼마나 엄격했는지 알 수 있네요. (看看获奖者们的阵营(每个人), 就能知道今年的评审标准有多严格了。)"
노림수,"意图，算计 / [EN] hidden agenda, calculated move, tactical intent","정치권의 이번 법안 발의에는 표심을 잡기 위한 노림수가 숨겨져 있습니다. (政界这次的法案提出中, 隐藏着为了拉选票的政治意图。)"
노리다,"瞄准，企图 / [EN] to aim at, to eye, to be after","부동산 규제가 풀리는 타이밍을 노려 집을 사려는 사람들이 많아요. (趁着房地产规制放宽的时机, 企图买房的人很多。)"
엿보다,"窥视，伺机 / [EN] to peep, to watch for (an opportunity), to get a glimpse of","상대방이 방심하여 약점을 노출하는 순간을 엿보아야 합니다. (必须伺机捕捉对方掉以轻心而露出弱点的瞬间。)"
AI 봄,"AI之春，人工智能春天 / [EN] AI Spring","글로벌 빅테크 기업들의 치열한 경쟁이 지금의 AI 봄을 이끌고 있습니다. (全球顶尖科技企业的激烈竞争, 正引领着现在的AI之春。)"
호황을 누리다,"享受繁荣，迎来牛市 (好況--) / [EN] to enjoy a boom, to ride a wave of prosperity","일부 업종이 호황을 누린다고 해서 전체 경기가 좋다고 볼 수는 없습니다. (不能因为部分行业享受繁荣, 就认为整体经济都很好。)"
불황을 겪다,"经历不景气，遭遇经济萧条 (不況--) / [EN] to experience a recession, to go through a slump","인공지능 분야는 호황이지만, 전통적인 제조업은 여전히 깊은 불황을 겪고 있습니다. (人工智能领域虽繁荣, 但传统的制造业依旧正经历着深深的不景气。)"
기지개,"伸懒腰，复苏 / [EN] stretch oneself, to bounce back, to start to flex one's muscles again","불황으로 얼어붙었던 소비 심리가 봄바람과 함께 기지개를 켜고 있네요. (因经济萧条而冻结的消费心理, 正伴随着春风开始复苏。)"
