Word,Definition,Sentence,Pronunciation
고비,"关头 (--) / [EN] crisis, critical juncture, turning point",수술 후 가장 위험한 고비를 넘겼다는 소식에 가족들은 안도했다. (听到手术后度过了最危险的关头的消息，家人们松了一口气。),
채찍,"鞭子 (--) / [EN] whip, lash; (figurative) punishment, coercive measure",상사는 <i>당근과 채찍</i>을 함께 사용해 팀원들을 이끌었다. (上司同时运用胡萝卜加大棒的策略来带领团队),
부스스,"乱糟糟 (---) / [EN] messy, disheveled, tousled (hair or appearance)",오늘 아침에 일어나니 머리가 부스스했다. (今天早上起床后头发乱蓬蓬的。),
십년감수,"十年折寿 (十年減壽) / [EN] a great fright, a shock that feels like it shortened one's life by ten years","어제 갑자기 차가 튀어나와서 십년감수했어요. (昨天突然有辆车冲出来,吓得我魂飞魄散/折寿十年。)",심년감수
미치지 않을 리가 없다,不可能没有影响 (-----理---) / [EN] there's no way it wouldn't affect (something); it's bound to have an effect,매일 밤늦게 자는 습관이 건강에 미치지 않을 리가 없다. (每天熬夜的习惯不可能不影响健康。),미치지 아늘 리가 업따
몸집,"体型/规模 (----) / [EN] body size, build, physique; (fig.) scale, size",그런데... 몸집이 커진 만큼 고민도 함께 커졌습니다 (但是...随着规模变大，烦恼也一同增加了),몸찝
촘촘하다,"（日程）紧凑，密集 (----) / [EN] dense, tightly packed, closely spaced, meticulous (schedule)",배송 시간을 촘촘하게 관리하기 어려움 (很难细致地管理配送时间),
한때,"曾经 (--) / [EN] once, at one time, for a time",한때 국내 커피 업계 절대강자였던 '스타벅스'가 흔들리고 있습니다. (曾经是国内咖啡业界绝对强者的星巴克正在动摇。),
탈모 치료제,"防脱发药 (脫毛 治療劑) / [EN] hair loss treatment, anti-hair-loss medication",아빠는 몇 달 전부터 탈모 치료제를 꾸준히 바르고 계세요. (爸爸从几个月前开始一直坚持涂抹防脱发药。),
대체할 곳,"可替代的地方 (代替--) / [EN] place to replace something with, alternative",대체할 곳이 없기 때문인데요. (因为没有可以替代的地方。),
비급여 현금 결제,自付现金付款 (非給與 現金 決濟) / [EN] cash payment for a non-insured (out-of-pocket) medical charge,이 시술은 비급여 항목이라 현금 결제만 가능합니다. (这项手术属于自费项目，只能现金支付。),비그벼 현금 결쩨
흥행,"卖座 (興行) / [EN] commercial success, box office success, being a hit",결국 탈모 치료 시장의 흥행은 임상 성공만으로 끝나지 않습니다 (归根结底，脱发治疗市场的商业成功不能仅靠临床成功来实现),
설렁설렁,"慢慢地，悠闲地，马马虎虎地 (----) / [EN] casually, half-heartedly, without much effort; leisurely; (of wind) gently","주말 오후, 바람이 설렁설렁 불어서 공원을 설렁설렁 걸었다. (周末下午，风轻轻吹着，我悠闲地在公园散步。)",
찰깍찰깍,咔嗒咔嗒 (----) / [EN] click-click (sound of repeated clicking/locking),카메라 셔터가 찰깍찰깍 소리를 내며 사진을 찍었다. (相机快门咔嗒咔嗒地拍下了照片。),
소매치기,"扒手 (----) / [EN] pickpocket (person), pickpocketing (act)",번화가나 지하철에서는 소매치기를 항상 조심해야 해요. (在闹市区或地铁上要时刻小心扒手。),
