Word,Definition,Sentence,Pronunciation
찰싹,"耳光声、巴掌声，紧紧地 / [EN] with a slap/smack, sticking tightly",그는 팔뚝에 앉은 모기를 손바닥으로 찰싹 때려잡았다. (他用手掌啪地一声打死了停在胳膊上的蚊子。),
겸임,兼任 (兼任) / [EN] holding a concurrent office,그는 기획조정실장으로 근무하면서 인사팀장 직무까지 겸임하게 되었다. (他在担任企划调整室长期间，还兼任了人事队长职务。),겨밈
애착,"依恋、爱着 (愛着) / [EN] attachment, deep affection",유아기에 양육자와의 안정적인 애착 형성이 제대로 이루어지지 않으면 성인이 되어서도 대인관계에 어려움을 겪기 쉽다. (在幼儿期与养育者没能妥善形成稳定的依恋的话，即使成为成人也容易在人际关系上经历困难。),
상처 받지 마,"别伤心、不要受伤害 (傷處-) / [EN] Don't take it to heart, Don't get hurt",상대의 야비한 인신공격에 일일이 상처 받지 않는 단단한 멘탈을 키우는 것이 직장 생활의 핵심 기술이다. (对对方卑鄙的人身攻击每一个都不往心里去，培养坚强心理，是职场生活的核心技术。),상처 받찌 마
기성식품,"预制食品、既成食品 (旣成食品) / [EN] ready-made food, pre-packaged food",아무리 바빠도 매일 기성식품으로만 끼니를 때우면 영양 불균형이 오기 쉬우므로 주의해야 한다. (无论多忙，如果每天只用既成食品凑合一顿的话，容易带来营养不均衡，因此需要注意。),
적극적인 의견,"积极的意见 (積極的 意見) / [EN] active opinion, assertive view",이번 신제품 개발을 위해 팀원들이 마케팅 방향에 대한 적극적인 의견을 가감 없이 개진해 주었다. (为了这次新产品开发，团队成员们对营销方向毫无保留地发表了积极的意见。),적끅쩌긴 의견
대머리가 된다,"变秃、变成秃头 (禿頭-) / [EN] to go bald, to lose one's hair",이번 프로젝트는 신경 쓸 조항이 너무 많아서 진짜 대머리가 될 것 같다. (这次项目需要操心的条款太多了，真的感觉快要变秃了。),
공짜 좋아하면 대머리가 된다,"贪小便宜吃大亏 / [EN] If you love freebies, you'll go bald.","공짜 좋아하면 대머리가 된다는 옛말처럼, 정당한 노동의 가치를 무시하고 요행만을 바라는 태도는 결국 자신의 신뢰자산을 무너뜨릴 뿐이다. (正如贪小便宜吃大亏的古话一样，忽视正当劳动价值只奢望侥幸的态度，最终只会击垮自己的信任资产。)",공짜 조아하면 대머리가 된다
햇볕에 타다,"晒伤、晒黑 / [EN] to get sunburned, to get tanned",선크림을 깜빡하고 서핑을 즐겼더니 어깨와 등 쪽 피부가 햇볕에 타서 허물이 벗겨지기 시작했다. (忘记涂防晒霜享受了冲浪，结果肩膀和后面皮肤被晒伤开始脱皮了。),핻뼈테 타다
까매지다,"变黑、变暗 / [EN] to turn black, to get tanned",여름휴가 동안 해변에서 온종일 놀았더니 온몸이 시커멓게 까매졌다. (夏天放假期间在海边玩了一整天，结果全身都被晒得黑漆漆的。),
알맹이,"核心、实속 있는 내용 / [EN] kernel, substance, core",그 보고서는 겉포장만 화려할 뿐 정작 우리가 필요로 하는 구체적인 대책이라는 알맹이가 빠져 있다. (那份报告书只是外包装华丽，正当我们需要的具体对策这一核心内容却漏掉了。),
엉뚱하다,"无厘头、荒唐、奇特 / [EN] eccentric, erratic, unexpected",그 아이는 과학 시간에 선생님의 질문에 항상 엉뚱한 대답을 해서 교실을 웃음바다로 만들곤 했다. (那个孩子在科学课上总是做些无厘头的回答，经常让教室变成欢笑的海洋。),
품위 손상,"损毁品位、败坏名誉 (品位 損傷) / [EN] damage to one's dignity, conduct unbecoming",그 장학사는 공금을 유용했다는 사실이 밝혀져 품위 손상을 이유로 파면 조치되었다. (那位督学被查出挪用公款，以损毁品位为由遭到了罢免处分。),
비뚤다,"歪斜、扭曲、偏激 / [EN] crooked, slanted, warped",성공을 위해서라면 남을 짓밟아도 된다는 비뚤어진 가치관은 우리 사회를 병들게 한다. (为了成功踩着别人也无所谓的扭曲的价值观，正在让我们的社会生病。),
깔 만하니까 까는 거지,活该被骂、因为有错才挨批的 / [EN] I'm criticizing them because they completely deserve it.,그 유튜버는 거짓 해명을 하다가 들통났잖아. 사람들이 깔 만하니까 까는 거지 아무 이유 없이 비난하는 게 아니야. (那个播主不是在做虚假解释时被戳穿了吗。人们是因为他活该被骂才骂他的，并不是毫无理由地指责。),
