Word,Definition,Sentence,Pronunciation
카체이싱 신,飞车追逐戏 / 车辆追逐场景 (---) / [EN] Car chase scene," ""사실 카체이싱 신이 진짜 힘들잖아. (说实话，飞车追逐戏真的非常辛苦啊。)""",
원가 있다,有猫腻 / 有内幕 [‘뭔가 있다’的听力误写] (---) / [EN] There is something fishy / There's more to it," ""나는 아예 ‘뭔가 있다?’ 계속 그랬어. (我从一开始就一直在想‘这其中肯定有内幕？’。)""",원까 읻따
알록달록,"五颜六色 / 花花绿绿 (---) / [EN] Colorful, multicolored, variegated"," ""이제 처음으로 좀 약간 알록달록한 옷도 입고. (现在第一次穿上了一些稍微有点花花绿绿的衣服。)""",알록딸록
무한대,"无限大 (无限大) / [EN] Infinity, boundless, limitless"," ""그 배우에 대한 감독의 신뢰는 거의 무한대에 가깝다. (导演对那位演员的信任几乎接近于无限大。)""",
기막히다,"令人窒息 / 绝妙 / 荒唐 (气---) / [EN] Amazing, mind-blowing / Absurd, ridiculous"," ""기막힌 결혼식 암행투어. (精彩绝伦的婚礼秘密潜入之旅。)""",기마키다
짜릿하다,"爽快 / 刺激 / 触电般的喜悦 (---) / [EN] Thrilling, electrifying, exhilarating"," ""인정 한번 받으면 짜릿하고. (一旦得到一次认可，就会感到无比的爽快。)""",짜리타다
빗금 치다,"打斜线 / 划掉 (---) / [EN] To draw a slash, to cross out with a diagonal line"," ""오늘 해야 할 일을 다 끝내고 메모장에서 하나씩 빗금을 쳤다. (做完今天该做的事后，我在备忘录上把它们一个个划掉了。)""",빋끔 치다
공포심을 유발하다,"引起恐惧 / 诱发恐惧感 (恐怖心-诱发---) / [EN] To induce fear, to evoke fear, to trigger dread"," ""어두운 조명과 좁은 복도는 인간의 본능적인 공포심을 유발하기에 충분했다. (昏暗的灯光和狭窄的走廊足以引发人类本能的恐惧感。)""",공포시믈 유발하다
그딴 소리,"那种鬼话 / 这种屁话 (---) / [EN] Such nonsense, ridiculous talk, rubbish"," ""남들이 뒤에서 그딴 소리 하든 말든 네 갈 길만 가면 돼. (不管别人在背后说什么那种鬼话，你只要走好自己的路就行。)""",
한탕주의,"捞一把主义 / 投机主义 (一탕主义) / [EN] Get-rich-quick fever, speculative mindset"," ""가상화폐 시장에 묻지마 투자자들이 몰리는 것은 우리 사회의 한탕주의 단면을 보여준다. (虚拟货币市场涌入盲目投资者，展现了我们社会投机主义的一面。)""",
폴더폰,"翻盖手机 / 折叠手机 (---) / [EN] Flip phone, clamshell phone"," ""요즘 나오는 플립형 폴더폰은 디자인이 예뻐서 젊은 층에 인기가 많다. (最近推出的翻盖式折叠手机因为设计美观，在年轻群体中很受欢迎。)""",
앞장서,"率先 / 带头 / 走在前面 (---) / [EN] To take the lead, to spearhead, to be at the forefront"," ""그는 학급의 궂은일이 있을 때마다 항상 자기가 먼저 앞장서서 해결했다. (每当班级里有脏活累活时，他总是自己先带头去解决。)""",압짱서
뒷짐 자다,"袖手旁观 / 偷懒敷衍 [‘뒷짐 지다’与‘자다’的结合或误写] (---) / [EN] To stand idly by, to sit back and do nothing"," ""동네 주민들이 모두 나와 청소를 하는데",뒫찜 자다
수박화채,"西瓜花菜 / 韩式西瓜冷饮 (西瓜花菜) / [EN] Korean watermelon punch, Subak-hwachae"," ""무더운 한여름에 시원한 수박화채 한 그릇은 최고의 간식이다. (在酷热的盛夏，一碗冰凉的西瓜花菜是最好的零食。)""",수바콰채
마음 근육,"心灵肌肉 / 心理韧性 (---) / [EN] Mental muscle, emotional resilience"," ""인생을 비할 수 있을 마음 근육을 연구하는 연세대학교 교수. (研究可以与人生相媲美的心灵肌肉的延世大学教授。)""",마음 그뉵
