Word,Definition,Sentence,Pronunciation
자기,磁性 (磁氣) / [EN] magnetism; oneself; porcelain (context-dependent),이 자석의 자기(磁氣)를 큰 테스트지로 측정해 봅시다. (我们用一张大测试纸来测量这块磁铁的磁性吧。),
조셉,乔瑟夫 (--) / [EN] Joseph (a given name),"조셉, 이거 네 테스트지? (约瑟，这是你的测试吧？)",
놀이 시도,"试着玩 (--試圖) / [EN] attempt to play, trying out a game or activity",불안 없애기 팁 - 다양한 놀이 시도해보기 (消除不安的小贴士——试着尝试各种游戏),노리 시도
우뚝,"高高地/耸立地 (--) / [EN] prominently, towering, conspicuously standing out",그는 마침내 업계에서 우뚝 서게 되었습니다. (他终于在业界屹立不倒/崭露头角了。),
게재되다,"刊登 (揭載--) / [EN] to be published, to be carried/printed (in a publication)",논문이 국제 학술지에 게재되다. (论文被刊登在国际学术期刊上。),
둥근 김밥,"圆形紫菜饭卷 (-- --) / [EN] round-shaped gimbap, cylindrical seaweed rice roll",여기는 둥근 김밥 말고 삼각김밥밖에 없냐고요. (这里除了三角饭团，没有圆饭卷吗？),둥근 김빱
속을 깔다,铺馅料 (---) / [EN] to spread/lay out filling or ingredients on top,그 위에 각종 속을 깔고! (在那上面铺满各种馅料！),소글 깔다
찍찍이 롤러,"黏毛滚轮 (---) / [EN] lint roller, sticky roller",다들 위생복 위로 찍찍이 롤러를 굴립니다. (大家都在防护服上滚动黏毛滚轮。),
변질,"变质 （变坏） (變質) / [EN] deterioration, spoilage, going bad","더 큰 문제는 뜨거운 밥이 그대로 유통되면 변질 위험이 가장 높아진다는 점이다. (更大的问题是,如果热饭直接流通,变质的风险会最高。)",
깐 김,"剥开的紫菜 (--) / [EN] peeled/opened laver, unwrapped seaweed","그런데 그 김, 깐 김이 아니라 비닐째 싸여 있습니다 (可是那个海苔,不是已经拆开的,而是整个用塑料包着的)",
비닐째,"连同塑料(一起) (---) / [EN] still wrapped in plastic, including the plastic wrap","그런데 그 김, 깐 김이 아니라 비닐째 싸여 있습니다 (可是那个海苔,不是已经拆开的,而是整个用塑料包着的)",
차단막,"屏障 (遮斷幕) / [EN] barrier, shield, screen, protective wall",일종의 차단막을 치는 겁니다. (这是一种筑起屏障的做法。),
자신감 붙다,"找到自信，有自信了 (自信感--) / [EN] to gain confidence, to become confident",자신감 붙으셨네요! (你更有自信了呢！),자신감 붇따
걷어내다,"去掉（不必要的东西） (----) / [EN] to remove, to take off, to clear away, to strip off","1번을 걷어내고 2번을 빼내면 그냥 이렇게 사각 형태가 되는 거죠. (去掉第一个、抽掉第二个,就变成这样的四方形状了。)",거더내다
저격하다,精准命中 (狙擊--) / [EN] to snipe; to precisely target or hit someone's taste/interest,만들 순 있지만 소비자 취향을 저격할 것 같지 않아서 출시를 미뤘어요. (虽然能做出来，但感觉不太能精准戳中消费者喜好，所以推迟了上市。),저겨카다
