Word,Definition,Sentence
1황 기업,"绝对霸主企业 / [EN] absolute dominant leader, undisputed number one enterprise","시장에서 1황 기업의 독주를 막기 위해 다른 기업들이 동맹을 맺기 시작했습니다. (为了阻止绝对霸主企业在市场上的独霸，其他企业开始结成同盟。)"
쌍두마차,"双驾马车 (雙頭馬車) / [EN] the two pillars, dual engines, twin titans","우리나라는 메모리 쌍두마차인 SK하이닉스와 삼성전자가 있으니까요. (因为我们国家有作为内存双驾马车的SK海力士和三星电子呀。)"
제치다,"超过，赶超 / [EN] to beat, to surpass, to overtake","대만 주식시장은 캐나다를 제치고 전 세계 6위로 올라섰습니다. (台湾股市赶超加拿大，跃升至全球第六位。)"
새치기,"插队 / [EN] line-cutting, skipping the line","아무리 바빠도 공공장소에서 새치기를 하는 것은 성숙한 시민의 자세가 아닙니다. (纵使再忙，在公共场所插队也不算是成熟公民的姿态。)"
숨통을 조이다,"扼住咽喉，卡脖子 / [EN] to put a stranglehold on, to suffocate","미국은 중국의 숨통을 조이려 했는데 오히려 중국의 폐활량만 키웠습니다. (美国本想扼住中国的咽喉，却反而增强了中国的肺活量。)"
날리다,"竖起，抛出 / [EN] to give (a thumbs-up), to throw (a gesture)","부장님은 오늘 내 보고서를 보시더니 흐뭇하게 엄지척을 날리셨다. (部长今天看了我的报告书后，欣慰地竖起了大拇指。)"
배선,"布线，配线 (配線) / [EN] wiring, electrical cabling","반도체의 공정이 미세화될수록 전자들이 지나가는 배선 기술도 더욱 고도화됩니다. (随着半导体工艺趋向微细化，电子通过的布线技术也变得更加高度化。)"
암초,"暗礁，绊脚石 (暗礁) / [EN] unexpected obstacle, hidden snag, reef","거대한 암초를 만나게 됩니다. (将会遇到巨大的暗礁(绊脚石)。)"
충격을 주다,"带来冲击，震撼 (--衝擊--) / [EN] to shock, to send shockwaves through","불가능이라 생각한 걸 해냈다는 것만으로도 업계에는 꽤나 큰 충격을 주었습니다. (仅仅是做到了原本以为不可能的事情 economic, 就已经给业界带来了相当大的震撼。)"
우베,"宇部 (宇部) / [EN] Ube (Japanese chemical company / city)","글로벌 반도체 기업들이 안정적인 소재 확보를 위해 일본 우베(UBE)와의 협력을 강화하고 있습니다. (全球半导体企业为了确保稳定的材料供应，正在加强与日本宇部的合作。)"
극비 수사,"极秘调查，绝密侦查 (極秘搜査) / [EN] top-secret investigation, confidential probe","경찰의 극비 수사 덕분에 마약 밀매 조직의 핵심 인물들을 현장에서 일망타진할 수 있었습니다. (多亏了警察的极秘调查，才能在现场将毒品走私集团的核心人物一网打尽。)"
지리감,"对地理环境的熟悉感 (地理感) / [EN] familiarity with the area, local knowledge","그 배달원은 이 지역의 지리감이 뛰어나서 어떤 골목이든 가장 빠르게 찾아갑니다. (那个外卖员对这个地区的地理环境极其熟悉，无论什么胡同都能最快找到。)"
선적,"装船，装运 (船積) / [EN] shipment, loading, shipping","중요한 건 아직 선적이 아니라 승인이란 겁니다. (重要的是，现在还不是装船发货阶段，而是审批通过阶段。)"
계산이 깔려 있다,"隐藏着小算盘，带有功利的算计 (計算--) / [EN] to have a hidden agenda, to be driven by calculated motives","오히려 더 차가운 계산이 깔려 있습니다. (反而隐藏着更加冷酷的算计。)"
혜자,"最大的赢家，物美价廉 / [EN] the ultimate beneficiary, incredible value for money","어쨌거나 이번 회담의 진짜 혜자는 엔비디아 젠슨 황 입니다. (不管怎么说，这次会谈的真正最大赢家是英伟达的黄仁勋。)"
