Word,Definition,Sentence,Pronunciation
덧붙이다,"补充（一下） (----) / [EN] to add, to append, to supplement (an explanation)",그러면 그때 덧붙여서 설명을 해 준다든지 하는 거죠. (那时候的话，就可以补充说明一下之类的。),덛뿌치다
청소년기,"青春期 (靑少年期) / [EN] adolescence, teenage years, youth period",청소년기에는 자아 정체성을 찾는 것이 가장 중요한 과제다. (青少年期最重要的课题就是寻找自我认同),
정서 발달,情绪发展 (情緖 發達) / [EN] emotional development,아이의 정서 발달을 위해서는 부모의 따뜻한 관심이 중요하다. (为了孩子的情绪发展，父母的温暖关心非常重要。),정서 발딸
표준어의 사용,使用标准语 (標準語- 使用) / [EN] use of the standard language,아나운서는 방송에서 표준어의 사용을 철저히 지킵니다. (播音员在广播中严格遵守标准语的使用。),
엄마의 손길,"妈妈的呵护/ 妈妈亲手(做的食物) (-----) / [EN] a mother's caring touch, motherly care",아플 때는 엄마의 손길이 제일 그립다. (生病的时候最想念妈妈的呵护。),
익숙해지기 마련이니까,"习惯是迟早的事 (---) / [EN] bound to get used to (it), sure to become accustomed to",익숙해지기 마련이니까 걱정하지 마세요. (即使现在觉得难，慢慢也会习惯的，别担心。),익쑤캐지기 마려니니까
잘 배울 리가 없다,不可能学好 (---理---) / [EN] there's no way (one) could learn well; it's impossible to learn properly,수업 시간에 계속 졸면 잘 배울 리가 없다. (上课一直打瞌睡的话，不可能学得好。),잘 배울 리가 업따
영향력이 매우 크다,"影响力很大 (影響力-----) / [EN] to have very great/strong influence, highly influential",그 정치인은 젊은 세대에게 영향력이 매우 크다. (那位政治人物对年轻一代的影响力非常大。),영향녀기 매우 크다
영향을 안 미칠 리가 없다고 생각합니다,我认为肯定会有影响 (影響---------生覺---) / [EN] I believe it's bound to have an effect; there's no way it wouldn't influence something,환율 변동이 국내 물가에 영향을 안 미칠 리가 없다고 생각합니다. (我认为汇率变动肯定会影响国内物价。),영향을 안 미칠 리가 업따고 생가캅니다
총판사,"总代理公司 (總販社) / [EN] general distributor company, sole agent company",호카(HOKA)의 총판사로 선정됐다고 해요. (据说被选定为HOKA的总代理商。),
한창,"짓눌리다 뜻
시장에 돈둘이 마르면서 경제 전체가 짓눌리게 될 수 있는데요 (--) / [EN] in full swing, at the height/peak of, in one's prime","한창 일해야 할 2, 30, 40대로 나타나면서 사회적 문제가 되었다. (正值該努力工作的20、30、40幾歲的人出現這種情況，成了社會問題。)",
짓눌리다,"被压制 (----) / [EN] to be crushed, to be weighed down, to be oppressed, to be pressed down heavily",시장에 돈줄이 마르면서 경제 전체가 짓눌리게 될 수 있는데요 (随着市场资金枯竭，整体经济可能会受到严重压制。),진눌리다
배타적이다,"排外的 (排他的--) / [EN] exclusive, exclusionary, closed-minded",그 회사는 외부 의견에 너무 배타적이라서 협업이 힘들다. (那家公司对外部意见太排斥了，很难合作。),배타저기다
매달리다,"执着于 (----) / [EN] to hang on, to cling to, to be absorbed in, to depend heavily on","공부, 입시라는 것에 매달려야 합니다. (要一味埋头于学习和升学考试。)",
통과의례,"成人礼/过渡仪式 (通過儀禮) / [EN] rite of passage, an inevitable necessary process",신입 사원 시절에 혼나는 건 다들 겪는 통과의례야. (新员工时期被骂是大家都要经历的必经过程),
