Word,Definition,Sentence
성난,"愤怒的 / [EN] angry, furious, outraged","그러나 선관위의 이 같은 해명은 오히려 성난 여론에 기름을 부었습니다. (然而选管委的这一解释反而给愤怒的舆论火上浇油了。)"
전따봉,"全点赞 (网络 밈) / [EN] Jeon-Tabom (thumbs-up meme associated with the surname Jeon)","오늘 전북 경기 이겼으니 내일 뉴스에 또 전따봉 사진 올라오겠네. (今天全北的比赛赢了，估计明天新闻里又得登出‘全点赞’的照片了。)"
참교육,"好好教训，教做人 / [EN] giving someone a lesson, poetic justice","중고거래 사기꾼의 계좌를 정지시켜서 제대로 참교육을 시전했습니다. (把二手交易骗子的账户给冻结了，完美施展了现世报(教做人)。)"
성추행,"强制猥亵 (性醜行) / [EN] sexual harassment, indecent assault","만원 지하철 안에서의 고의적인 신체 접촉은 명백한 성추행 범죄에 해당합니다. (在拥挤的地铁内故意的身体接触，属于明显的强制猥亵犯罪。)"
부흥시키다,"使复兴，振兴 (復興---) / [EN] to revive, to revitalize, to bring back to prosperity","그 디자이너는 80년대 레트로 스타일을 현대적으로 재해석하여 다시 부흥시켰다. (那名设计师将80年代复古风格进行现代的重新诠释，使其再次复兴。)"
끌올,"顶帖，重新翻出 / [EN] bumping a post, bringing back an old post or issue","최근 '끌올'되고 있기도 하죠. (最近也正在被重新翻出来(引起关注)呢。)"
까도 까도,"越挖越多，剥了又剥 / [EN] peeling back layer after layer, endless revelations","양파처럼 까도 까도 계속 나온다는데요. (据说像洋葱一样，剥了又剥(越挖越多)源源不断地暴露出来。)"
실감이 안 나다,"没真实感，觉得不真实 (實感---) / [EN] to feel surreal, to not sink in yet","선수 본인조차도 실감이 안 났다고 해요. (据说连选手本人都觉得不真实(像做梦一样)。)"
일기장,"日记本 (日記帳) / [EN] diary, journal","오 선수는 당시 일기장에 이런 글을 남겼다고 하는데요. (据说吴选手当时在日记本里留下了这样的文字。)"
등번호,"球衣号码，背号 (背番號) / [EN] jersey number, back number","앞으로 4년간 준비해서 당당히 등번호 달고 오면 된다. (今后准备4年，堂堂正正地挂上球衣号码回来就可以了。)"
떡잎,"子叶，苗头 / [EN] cotyledon, signs of future greatness","사실 오현규의 극복력은 떡잎부터 남달랐습니다. (实际上，吴贤揆的克服能力从苗头上(从小)就与众不同。)"
십자인대,"十字韧带 (十字靭帶) / [EN] cruciate ligament, ACL","고등학생 때는 십자인대 부상으로. (高中的时候因为十字韧带受伤。)"
어려서부터,"从小，从小时候开始 / [EN] from a young age, since childhood","저희 어머니 아버지가 저를 어려서부터. (我的爸爸妈妈打从小时候起就把我。)"
간판 공격수,"招牌前锋，当家前锋 (看板攻擊手) / [EN] star striker, marquee forward","4년 전 '등번호 없는 선수'에서 대표팀의 간판 공격수로 거듭난 오현규! (4年前还是‘没有球衣号码的选手’，如今蜕变为国家队招牌前锋的吴贤揆！)"
감격스럽다,"激动万分，百感交集 (感激---) / [EN] deeply moving, overwhelming with emotion","이렇게 월드컵 뛰는 것만으로도 정말 감격스럽고 너무 감사한 일인데. (光是这样在世界杯上奔跑就已经是令人激动万分且无比感激的事情了。)"
