Word,Definition,Sentence
조현병,"精神分裂症 / 调弦病 (調絃病) / [EN] Schizophrenia","조현병은 현악기의 줄을 고르듯 치료와 조율이 필요한 뇌의 질환입니다. (调弦病就像调整弦乐器的琴弦一样，是一种需要治疗和调适的大脑疾病。)"
밥값,"饭钱 / 应尽的责任 (---) / [EN] One's keep, pulling one's own weight","맨날 방구석에서 게임만 하지 말고 제발 밥값 좀 하자. (别整天窝在房间里打游戏了，拜托好歹尽到自己应尽的责任吧。)"
혐오하다,"厌恶 / 嫌恶 / 仇恨 (嫌惡--) / [EN] To hate, to loathe, to detest","저는 소년범을 혐오합니다. (我厌恶少年犯。)"
공중제비,"翻筋斗 / 空翻 / 爆笑 (空中--) / [EN] Somersault, flip, extreme laughter","너무 웃기거나 황당해서 방구석에서 공중제비를 돌았다. (太好笑也太荒唐了，简直让人在房间里笑到翻筋斗。)"
경질,"撤职 / 解雇 / 罢免 (更迭) / [EN] Dismissal, sacking, firing","위르겐 클린스만 전 축구대표팀 감독 경질 직후 축구계는 큰 혼란에 빠졌다. (在国家足球队前主教练尤尔根·克林斯曼被撤职后不久，足球界陷入了巨大的混乱。)"
이물질,"异物 / 杂质 / 不순물 (異物質) / [EN] Foreign substance, foreign matter, impurity","세척 전 티백 또는 음료 찌꺼기 같은 이물질은 휴지통에 버리고 사용해 주세요. (清洗前请将茶包或饮料残渣等异物丢入垃圾桶后再使用。)"
주도주,"龙头股 / 主导股 (主導株) / [EN] Leading stock, market leader","시장이 조정을 받을 때일수록 여전히 주도주를 사야 합니다. (市场处于调整期时，更应该依旧购买龙头股。)"
소외주,"冷门股 / 被冷落的股票 (疏外株) / [EN] Neglected stock, out-of-favor stock","남들이 주도주로 수익을 낼 때 소외주를 붙들고 있으면 기분이 쭉 다운됩니다. (当别人靠龙头股赚钱时，如果自己还死守着冷门股，心情会一直跌到谷底。)"
목전,"眼前 / 临近 / 迫在眉睫 (目前) / [EN] Right before one's eyes, on the verge of","주가가 300만 원의 목전에 있기 때문에 심리적으로 비싸게 느껴지죠. (因为股价已经逼近300万韩元大关，所以心理上会觉得很贵。)"
백,"百 / 百万 / 名牌包 (---) / [EN] One hundred, million, luxury bag","한 주에 300만 원은 그냥 주식뿐만 아니고 명품 백을 해도 좀 비싼 편이에요. (一股300万韩元，不仅是在股市，就算是买个名牌包，也算是偏贵的了。)"
사후적,"事后的 / 结果论的 (事後--) / [EN] Retrospective, after the fact, ex-post","사후적으로 보면 레버리지 ETF 상품의 쏠림이 확대됐다. (事后来看，杠杆ETF产品的极端集中现象进一步扩大了。)"
쏠림,"倾斜 / 扎堆 / 极端集中 (---) / [EN] Concentration, polarization, imbalance","특정 고위험 금융 상품으로의 자금 쏠림 현상이 심각해지고 있다. (资金向特定高风险金融产品极端集中的现象正变得越来越严重。)"
녹아나다,"融入 / 亏空 / 财产融化 (---) / [EN] To be melted into, to be fully reflected, to be wiped out","이번 폭락장으로 인해 수많은 투자자들의 계좌가 흔적도 없이 녹아났다. (由于这次暴跌，无数投资者的账户资金都被融化得无影无踪。)"
방정식,"方程式 / 复杂公式 (方程式) / [EN] Equation, formula","주가는 고정된 정답이 아니라 PER과 EPS가 결합한 복잡한 방정식입니다. (股价不是固定的标准答案，而是由PER和EPS结合而成的复杂方程式。)"
항등식,"恒等式 / 绝对公式 (恒等式) / [EN] Identity","인생과 투자는 언제나 정답이 똑같은 항등식이 아니라 끊임없이 변하는 방정식이다. (人生与投资并不是答案永远相同的恒等式，而是不断变化的方程式。)"
