Word,Definition,Sentence,Pronunciation
찝찝하다,"不爽/不舒服 (----) / [EN] uneasy, uncomfortable, having a lingering bad feeling, reluctant",약속을 어겨서 아직도 마음이 찝찝해. (因为没有遵守约定，心里到现在还是很不舒服。),
느릿느릿,"慢悠悠 (----) / [EN] slowly, sluggishly, at a snail's pace",또 느릿느릿 공사하는 일정에 맞춰서 하다보면 (工程又这样慢吞吞地按照进度进行的话),느린느릿
훌쩍,"一下子(远远超过) (--) / [EN] far exceeding, by a wide margin, all at once",공사비가 1천만 원이 훌쩍 넘어갑니다. (施工费一下子远远超过了一千万韩元。),
관문,"关卡/难关 (關門) / [EN] gate, barrier, hurdle, checkpoint, critical stage","마지막 관문이 또 있다, 에어컨 소음 기준이다. (还有最后一个关卡,就是空调噪音标准。)",
흉하다,"难看 (凶--) / [EN] unsightly, hideous, ugly (in appearance)","에어컨이 시끄럽고 보기 흉하며 뜨거운 바람을 내뿜는다. (空调又吵又丑,还排出热风。)",
씨가 마르다,"断货 (-----) / [EN] to become extremely scarce, to dry up (supply), to become virtually nonexistent",문제는 이게 씨가 말랐습니다. 사고 싶어도 살 수가 없습니다. (问题是这个东西已经断货了，即使想买也买不到。),
목소리가 크다,呼声很高 (------) / [EN] an opinion or demand is strong and widespread; there's a loud call for something,에어컨을 좀 달기 쉽게 법을 바꾸자는 목소리가 큽니다. (要求修改法律，让安装空调变得更容易的呼声很高。),
능구렁이,"老油条 (----) / [EN] sly old fox, cunning/crafty person; (lit.) old large snake",그 부장님은 완전 능구렁이라서 절대 손해 보는 일을 안 해요. (那位部长完全是个老油条，绝不做吃亏的事。),
순회공연,"巡演 (巡回公演) / [EN] touring performance, concert tour",그 가수는 아시아 순회공연을 시작했다. (那位歌手开始了亚洲巡演。),
추려지다,"被筛选 (----) / [EN] to be selected, to be narrowed down, to be sorted out, to be culled","회의 끝에 최종 후보 세 명이 추려졌다. (会议结束后,最终候选人被筛选出三名。)",
심란하다,"心烦意乱 (心亂--) / [EN] troubled, upset, uneasy, distracted (in mind)","요즘 이런저런 걱정거리가 많아서 마음이 심란하다. (最近烦心事很多,心里很乱。)",심난하다
지겹다,"腻 (---) / [EN] tedious, boring, sick and tired of, fed up with","매일 똑같은 일을 하니까 너무 지겨워요. (每天做同样的事情,真的很腻了。)",지겹따
