Word,Definition,Sentence,Pronunciation
알록달록,"五颜六色 / 斑驳 / [EN] Colorful, multicolored, variegated",정원의 꽃들이 알록달록 피어있었다. (花园里的花朵五颜六色地绽放着。),알록딸록
고이다,"积聚/汇聚 (---) / [EN] to pool, to collect (of liquid); (of tears) to well up",빗물이 내 발목에 고이고 있었다. (雨水在我的脚踝处积聚着。),
빗물,雨水 (--) / [EN] rainwater,어느새 빗물이 내 발목에 고이고 있었다. (不知不觉，雨水已经积到我的脚踝了。),빈물
경신하다,"打破(纪录)/刷新 (更新--) / [EN] to renew, to update, to break (a record)","두 달 뒤 '최악'을 경신할지도 모른다고 합니다. (据说两个月后可能会打破""最差""纪录。)",
打破,"创下 (打破) / [EN] To break, to smash, to shatter",그는 유리잔을 打破했다. (他打破了玻璃杯。),
创下,"創立する / 創下 (創下) / [EN] To create, to establish, to set (a record)",그 선수는 새로운 기록을 創下했다. (那位运动员创下了新纪录。),
경신하다,"打破(纪录) (更新--) / [EN] to break/renew a record, to update","두 달 뒤 '최악'을 경신할지도 모른다고 합니다 (据说两个月后可能会打破""最差""纪录。)",
안목,"眼光 (眼目) / [EN] discernment, insight, judgment, an eye (for something)",장기적인 안목이 필요한 자리인데요. (这是个需要长远眼光的职位。),
선임하다,"委任 (選任--) / [EN] to appoint, to select (for a position), to nominate",철학에 맞는 감독들을 선임해야 하는데 (需要委任符合理念的总监们),
일가견,"有一套/有专长 (一家見) / [EN] expertise, unique insight, a knack for something",이민성 감독은 유소년 발굴에 일가견이 있었다. (李敏成导演在挖掘青年球员方面很有一套。),
