Word,Definition,Sentence,Pronunciation
한치,"枪乌贼 / [EN] Mitre squid, Uroteuthis chinensis",제주도에 왔으니 시원한 한치 물회 한 그릇은 꼭 먹고 가야지! (既然来了济州岛，必须要吃一碗凉爽的凉拌枪乌贼汤呀！),
뜯기다,"被敲诈，被勒索 / [EN] to get ripped off, to be extorted","아이고, 속상하겠다. 계좌 비밀번호나 다른 개인정보까지 더 뜯긴 거 없어? (哎呀，该多伤心啊。银行卡密码或其他个人信息没被进一步敲诈走吧？)",뜯끼다
쇼하다,"作秀，装模作样 / [EN] to put on a show, to put on an act","부장님 오시니까 또 열심히 하는 척 쇼하네, 쇼해. (部长一过来就又假装努力工作，真是作秀，作秀。)",
값싼,"廉价的，便宜的 / [EN] cheap, inexpensive",이 이어폰은 값싼 가격에 비해서 음질이 진짜 고급 헤드폰 못지않아! (这款耳机虽然价格便宜，但音质真的不输高级耳机！),갑싼
흑표,黑豹主战坦克 (黑豹) / [EN] K2 Black Panther tank,K2 흑표 전차가 전 세계에서 러브콜을 받는 모습을 보니 국뽕이 차오르고 정말 자랑스럽네요! (看到K2黑豹坦克受到全世界的青睐，真是爱国心爆棚，太自豪了！),
지상군,"地面部队，陆军 (地上軍) / [EN] ground forces, land forces",미래에는 위험한 전선에 인간 지상군 대신 무인 로봇 전차들이 먼저 투입되겠네요. (未来在危险的前线上，无人机器人坦克会代替人类地面部队首先投入吧。),
여러 노력을 겹쳐서,凝聚诸多努力，经过层层努力 / [EN] through continuous and stacked efforts,밤낮으로 피드백을 주고받으며 조원들과 여러 노력을 겹친 끝에 공모전에서 대상을 받았습니다. (通过日夜交流反馈、与组员们凝聚诸多努力，最终在征集大赛中荣获了大奖。),여러 노려글 겹쳐서
고출력,"高功率，高输出 (高出力) / [EN] high power, high output",미용실에서 쓰는 고출력 드라이기를 샀더니 머리가 5분 만에 말라요. (买了个美发店用的高功率吹风机，结果头发5分钟就吹干了。),
인생을 갈다,"倾注毕生心血，豁出性命 (---磨-) / [EN] to pour one's heart and soul into, to grind one's life away",졸업 작품을 준비하던 석 달 동안은 정말 수면욕도 참고 인생을 갈아서 작업했던 것 같아요. (在准备毕业作品的三个月里，真的连睡眠欲都强忍着，像是豁出性命般在创作。),
막바지,"尾声，最后阶段 / [EN] the final stage, the very end",이제 진짜 게임 막바지니까 집중해서 마지막 1점 따고 이기자! (现在真的是比赛最后阶段了，集中精神拿下最后一分赢下来吧！),막빠지
장치,"桥段，设定 (裝置) / [EN] literary device, plot device",영화 '인셉션'에서 꿈과 현실을 구별해 주는 팽이는 정말 기가 막힌 핵심 장치였어요. (电影《盗梦空间》中用来区分布景和现实的陀螺，真的是绝妙的核心设定。),
드라마가 통하다,"电视剧产生共鸣，大获成功 (---通--) / [EN] drama to resonate with the audience, to be a hit",드라마 속 가족들의 따뜻한 사랑 이야기는 인종을 초월해서 전 세계에 통할 수밖에 없는 코드 같아요. (剧中家人之间温暖的爱之故事，似乎是超越人种、注定能在全世界产生共鸣的密码。),
단숨에 보다,"一口气看完，一气呵成 (單---) / [EN] to watch all at once, to binge-watch",이번에 새로 나온 스릴러 드라마가 반전이 대박이라 주말 밤에 단숨에 다 봐버렸어요. (这次新出的悬疑剧反转太厉害了，周末晚上我一口气全给看完了。),단수메 보다
민원,"投诉，诉求 (民願/民怨) / [EN] civil petition, public complaint",밤 11시 이후에는 아이들이 뛰지 않도록 방송을 해달라는 민원을 접수했어요. (提交了要求在晚上11点后进行广播以防孩子们奔跑的投诉。),미눤
교실 질서,"课堂秩序，教室秩序 (敎室秩序) / [EN] classroom order, classroom discipline",우리 반은 수업 종이 울리면 1분 안에 모두 자리에 앉아 책을 펴는 규칙을 정해 교실 질서를 지켰어요. (我们班定下了上课铃响后1分钟内全部回座位翻开书本的规则，以此来维持课堂秩序。),교실 질써
