Word,Definition,Sentence,Pronunciation
은어,"俚语 (隱語) / [EN] slang, jargon, argot","레알, 눈팅 등과 같은 은어를 많이 사용합니다. (使用了很多像'레알'（真的）、'눈팅'（潜水观看）这样的网络俚语。)",
다시 말해서,"换句话说 (-----) / [EN] in other words, that is to say, to put it differently","경제가 어렵다, 다시 말해서 사람들이 돈을 아끼고 있다는 뜻이다. (经济不好，换句话说就是人们在省钱。)",
실태,"现状 (實態) / [EN] actual state, real situation, actual condition","국립국어원의 '청소년의 언어 실태에 대한 조사'에 따르면, (据国立国语院对青少年语言使用实际情况的调查显示,)",
건전하다,"健康的 (健全--) / [EN] healthy, sound, wholesome, decent",건전한 인터넷 문화를 만들기 위해 노력을 할 계획이라고 합니다. (为了打造健康的网络文化，将计划努力。),
짝퉁,"假货 (--) / [EN] fake, counterfeit, knockoff",이 가방은 짝퉁이지만 진짜처럼 보여요. (这个包是假货，但看起来很像真的。),
안타깝게 생각합니다,"感到遗憾 (---------) / [EN] to feel sorry, to regret, formal expression of regret",이번 사고로 많은 분들이 다치신 것에 대해 진심으로 안타깝게 생각합니다. (对于此次事故中许多人受伤，我深表遗憾。),안타깝께 생가캄니다
폭력적인 장면,"暴力场面 (暴力的-場面) / [EN] violent scene, brutal/graphic scene",이 영화에는 폭력적인 장면이 많이 나와요. (这部电影里出现很多暴力场面。),퐁녁쩌긴 장면
눈팅,"只看不发言 (---) / [EN] to lurk online, to browse without posting",저는 그 게시판에서 눈팅만 하고 댓글은 한 번도 안 달았어요. (我在那个论坛只是潜水，一次评论都没发过。),
시마이,"收工 (---) / [EN] closing, finishing work or business, wrapping up","오늘 장사 그만 시마이 합시다. (今天生意就做到这里,收摊吧。)",
곰살갑다,"亲切随和 (----) / [EN] friendly, warm-hearted, affectionate, sociable",우리 할머니는 손주들한테 늘 곰살갑게 말씀하셔. (我奶奶跟孙子们说话总是很温柔亲切。),곰살갑따
푸릇푸릇하다,"生机盎然 (---) / [EN] verdant, lush green, fresh green (descriptive)",MT에 가면 산과 들이 온통 푸릇푸릇합니다. (去MT的话，山野一片郁郁葱葱。),푸륻푸르타다
마음을 녹이다,"融化人心 (------) / [EN] to melt someone's heart, to warm someone's heart, to win someone's affection",저도 애들의 마음을 녹이고 올게요. (我也去融化一下孩子们的心吧。),마으믈 노기다
빠퇴 기원,祈祷早点下班 (-退祈願) / [EN] wishing/hoping for an early or on-time departure from work,"오늘도 야근 없이 칼퇴, 빠퇴 기원합니다! (希望今天也不用加班,准时甚至提前下班!)",
쇄신하다,"焕然一新 (刷新--) / [EN] to reform, to renew, to overhaul","쇄신해 보려고 한번 스타일 바꿔봤습니다. (为了革新一下,我尝试改变了发型/风格。)",
처참하다,"惨不忍睹 (悽慘--) / [EN] wretched, miserable, tragic, dire","1.5점, 처참한 수준입니다. (1.5分，简直惨不忍睹的水平。)",
