Word,Definition,Sentence,Pronunciation
날려버리다,"炸飞，挥霍掉 (-----) / [EN] to blow away, to blast/destroy; to squander (money); to blow off (stress)","메노티가 '축구협회를 리볼버로 날려버리고 싶다'고 말했다는 사실이 흥미롭다. (梅诺蒂说他想用左轮手枪把足协炸飞,这件事很有趣。)",
미싱,车衣机 (--) / [EN] sewing machine,네오프렌 원단으로 강아지 휠체어 패드를 미싱으로 제작하고 싶어요. (想用氯丁橡胶布料用缝纫机做狗狗轮椅垫。),
찜질 치료,"热敷/冷敷治疗 (--治療) / [EN] heat/cold compress therapy, thermal treatment",발목을 삐어서 병원에서 냉찜질 치료를 받았어요. (扭伤脚踝后在医院接受了冷敷治疗),
맞물리다,"相互连接/精密配合 (----) / [EN] to interlock, mesh, engage; to be interconnected, to coincide",스타 플레이어 활용이 모두 맞물린 완성형 대표팀으로 완벽한 변신에 성공했습니다 (明星球员的运用都紧密配合，成为阵容完整的代表队，成功完成了完美变身。),만물리다
해외파,"海归 (海外派) / [EN] person or group with overseas background/training (e.g., athlete or celebrity), as opposed to domestically trained",해외파 유소년 선수 정책을 둘러싼 갑론을박도 이어지고 있습니다 (关于海外派青少年运动员政策的争论也在持续。),
임대,"出租 (賃貸) / [EN] to lease out, to rent out (from owner's perspective)",이 오피스텔은 월세로 임대 중입니다. (这间公寓以月租方式出租中),
인대,韧带 (靭帶) / [EN] ligament,축구를 하다가 무릎 인대가 늘어났어요. (踢足球的时候膝盖韧带拉伤了。),
재앙,"灾难 (災殃) / [EN] disaster, calamity, catastrophe","'아르헨티나 축협은 재앙'이라며 단단히 벼르던 메시 (梅西曾狠狠地说""阿根廷足协就是场灾难"")",
단단히,"坚决地/坚定地 (---) / [EN] firmly, tightly, thoroughly, resolutely","'아르헨티나 축협은 재앙'이라며 단단히 벼르던 메시 (梅西曾狠狠地说""阿根廷足协就是场灾难"")",
마름모,"菱形 (---) / [EN] rhombus, diamond shape",이 연은 마름모 모양이라서 바람을 잘 받아요. (这个风筝是菱形的，所以很吃风。),
강보합,"小幅上涨 (强保合) / [EN] steady with a slight gain, firm close (stock market term)",지수는 이렇게 강보합으로 마감했는데요 (指数就这样以小幅上涨(企稳)收盘了。),
탈피하다,"摆脱 (脫皮--) / [EN] to break away from, to escape (a pattern/habit), to shed (an old way)",그런 사이클을 탈피하기 시작했다. (开始摆脱那种循环。),
애호가,"发烧友 (愛好家) / [EN] enthusiast, lover (of something), aficionado, fan",유명한 간장게장 애호가에다가 요리 실력까지 뛰어나서 다들 그 사람 집에 초대받고 싶어 해요. (他不仅是有名的酱油蟹爱好者，厨艺还很出色，所以大家都想被邀请去他家。),
비린내,"腥味 (---) / [EN] fishy smell, fishy odor",일본인들은 비린내를 별로 신경 쓰지 않는 사람들이 참 많아요 (很多日本人其实并不太在意鱼腥味),
선도,鲜度 (鮮度) / [EN] freshness (of food),조금 저렴하게 파는 게들은 선도가 떨어지다 보니까 그런 거예요. (卖得便宜一点的螃蟹，是因为鲜度不够。),
