Word,Definition,Sentence,Pronunciation
바선생,"小强 (-先生) / [EN] euphemistic nickname for a cockroach (""Mr. Ba"")","바선생 잡아주실 여성분, 자취방에 나타난 바퀴벌레를 잡아주실 분을 찾고 있어요. (征求能帮忙抓“巴先生”的女生，正在找可以帮忙抓单身公寓里出现的蟑螂的人。)",
선포식,"宣布仪式 (宣布式) / [EN] declaration ceremony, proclamation ceremony",가치체계 선포식이 오늘 오후에 열렸다. (价值体系宣布仪式今天下午举行了。),
손뼉,"拍手 (--) / [EN] clap (of hands), palms",손뼉을 힘껏 쳐줘 또 해낼 수 있게. (用力为他拍手，让他能再次做到。),
그까짓,"那点小事儿/区区那个 (---) / [EN] that trivial/measly thing (used dismissively), such a paltry thing",그까짓 것 해봐! (那种小事，去试试看啊！),
밑지다,"亏本/蚀本 (---) / [EN] to lose (money), to suffer a loss, to be at a loss in a deal","그까짓 것 해봐, 밑져야 본전이지. (那点小事就试试嘛，反正亏本顶多回到原点。)",믿찌다
차오르다,"喘不过气 (----) / [EN] to rise up, to fill up, to well up; to become breathless",숨이 턱 끝까지 차오를 때 정말 숨이 넘어갈 것 같았다. (喘气喘到快断气的时候，真的感觉快要窒息了。),
써 내리다,"写下来 (----) / [EN] to write down continuously, to jot down (letting thoughts flow)",잊지 못할 추억들을 써 내려갈게. (我会把难以忘怀的记忆一一写下来。),
써 내려가다,"写下去 (-----) / [EN] to write down continuously, to pen down (memories/feelings)",잊지 못할 추억들을 써 내려갈게 (我会把难忘的记忆一直写下去。),
소속되다,"属于 (所屬--) / [EN] to belong to, to be affiliated with",과연 난 여기 소속되어 있는가 (我真的属于这里吗?),소속뙤다
다른 대우를 받다,"受到不同的待遇 (--待遇---) / [EN] to receive different treatment, to be treated differently",왜 난 항상 남들과 다른 대우를 받는가 (为什么我总是受到跟别人不同的待遇?),다른 대우를 받따
분풀이,"出气 (憤--) / [EN] venting anger, taking it out on someone, retaliation to relieve frustration",경찰은 장윤기가 분풀이 대상으로 이 양을 살해한 것으로 보고 있다. (警方认为张允基是出于发泄愤怒的目的，将这名李姓女子作为对象将其杀害。),분푸리
리얼돌,"真人娃娃 (---) / [EN] realistic sex doll, love doll",리얼돌에는 가슴과 목 부위 등을 실리콘으로 정교하게 제작한다. (真人娃娃的胸部和颈部等部位使用硅胶精细制作。),
