Word,Definition,Sentence
파관,"拔管 / 破棺 (播管 / 破棺) / [EN] Extubation / Breaking the coffin (un-retiring)", "환자가 자가 호흡을 시작하여 무사히 파관 절차를 마쳤습니다. (患者开始自主呼吸，顺利完成了拔管流程。)"
핏줄,"血脉 (---) / [EN] bloodline, family lineage, blood vessel", "아무리 미워도 내 핏줄인데 어떻게 모른 척하겠니. (再怎么讨厌也是我的亲骨肉，怎么能装作不知道呢。)"
풍수사,"风水师 (風水師) / [EN] Feng Shui master, geomancer", "영화 속 풍수사는 묏자리가 잘못되었다며 당장 파묘를 해야 한다고 경고했다. (电影中的风水师警告称墓地选错了，必须立刻破墓移葬。)"
묫바람,"墓风 (---) / [EN] a curse/misfortune from an ill-placed ancestral grave", "계속되는 악재에 결국 묫바람을 잠재우고자 조상님 묘를 명당으로 이장하기로 했습니다. (面对接连发生的坏事，最终为了平息墓风，决定将祖先的墓迁移到明堂。)"
산새,"山鸟 (山-) / [EN] wild mountain bird", "도시의 소음에서 벗어나 맑은 산새 소리를 들으며 걸으니 가슴이 뻥 뚫리네요. (远离城市的噪音，听着清脆的山鸟鸣叫声散步，心情变得豁然开朗。)"
악지,"凶地 (惡地) / [EN] a cursed plot of land, bad/ill-omened site", "그 풍수사는 이 터가 지독한 악지라며 당장 이장하지 않으면 대대손손 화를 입을 것이라 경고했다. (那名风水师警告说这片土地是彻头彻尾的凶地，如果不立刻迁移祖坟，子子孙孙都会遭遇灾祸。)"
첩장,"叠葬 (疊葬) / [EN] double burial, stacked/overlapping burial", "무덤 속에 또 다른 관이 숨겨져 있는 '첩장'의 실체가 드러나자 영화의 긴장감은 극에 달했다. (当坟墓中还隐藏着另一口棺材的‘叠葬’真相浮出水面时，电影的紧张感达到了顶点。)"
겁날 게,"没什么好害怕的 (---) / [EN] nothing to be afraid of, fearless", "난 피나는 노력을 해왔기 때문에 내일 시험에서 전혀 겁날 게 없어. (因为我付出了刻苦的努力，所以明天的考试我没什么好害怕的。)"
쇠침,"铁针 (---) / [EN] iron needle, metal spike", "영화의 후반부는 한반도의 정기를 끊으려는 일제의 쇠침을 찾아내 뽑아내려는 주인공들의 사투를 그렸다. (电影的后半部分描绘了主角们为了寻找并拔掉日本帝国主义企图斩断朝鲜半岛气运的铁针而展开的死斗。)"
애드리브,"即兴发挥 (---) / [EN] ad-lib, improvisation", "대본에는 그냥 '웃는다'고만 적혀 있었는데 감독님이 이 대사는 제 애드리브였다고 칭찬해 주셨어요. (剧本上只写着‘笑了’，导演赞赏说这句台词是我的即兴发挥。)"
똘똘하다,"聪明伶俐 (---) / [EN] clever, smart, bright-eyed (for young ones)", "우리 조카는 겨우 대여섯 살인데 벌써 한글을 다 떼고 말하는 게 아주 똘똘해요. (我的外甥才五六岁，已经认全了韩文，说话真是聪明伶俐。)"
죽임을 당하다,"遭人杀害 (---) / [EN] to be killed, to be murdered", "피해자는 평소 원한 관계에 있던 면식범에게 지독히도 억울한 죽임을 당했습니다. (被害人遭到了平时有怨恨关系的熟人极其冤枉的杀害。)"
특수 카메라,"特种摄像机 (特殊---) / [EN] specialized camera, high-tech custom camera", "특정 온도를 입력해 두면 열화상 특수 카메라가 지나가는 사람 중 발열 환자만 골라내 경보를 울립니다. (如果输入特定温度，红外热成像特种摄像机就会从路人中筛选出发热患者并发出警报。)"
학도병,"学徒兵 (學徒兵) / [EN] student soldier, student volunteer troops", "어제 영화 촬영장에 학도병 보조 출연자로 갔는데 하루 종일 흙바닥을 구르는 바람에 온몸에 알이 배겼어. (昨天去了电影拍摄现场当学徒兵的群众演员，结果因为整天在泥地里打滚，浑身酸痛。)"
목청,"嗓门 (---) / [EN] vocal cords, voice volume, vocal power", "시위대들은 광장에 모여 자신들의 권리를 보장하라며 목청을 높였다. (示威群众们聚集在广场上，为保障自身的权利而提高了嗓门。)"
