Word,Definition,Sentence,Pronunciation
내조하다,在背后支持 (內助--) / [EN] to support behind the scenes (esp. a wife supporting her husband/family),아버님을 뒤에서 묵묵히 내조하시며 집안을 이끌어 가셨다. (在背后默默地支持公公，带领家庭度过艰难时期。),
발탁되다,"入选 (拔擢--) / [EN] to be selected, to be chosen (based on talent/merit)",재능을 인정받아 말레이시아 국가대표팀에 발탁되었습니다. (因才能受到认可，被选入马来西亚国家代表队。),
수성하다,"保住地位/守住位置 (守城--) / [EN] to defend/maintain a position, title, or rank","2006년에 처음으로 세계랭킹 1위에 올랐으며, 총 348주 동안 1위 자리를 수성했습니다. (2006年首次登上世界排名第一，共守住第一的位置348周。)",
목에 걸다,"获得奖牌 (----) / [EN] to win a medal, to be awarded a medal","2008 베이징, 2012 런던, 2016 리우 올림픽에서 연속으로 남자 단식 은메달을 목에 걸었습니다. (在2008年北京、2012年伦敦、2016年里约奥运会上连续三次获得男单银牌。)",모게 걸다
목전,"眼前 (目前) / [EN] right before one's eyes, imminent, right ahead","올림픽 금메달을 목전에 두고 항상 숙원인 라이벌 린단에게 막혔으나, (眼看就要拿到奥运金牌，却总被那位多年宿敌林丹挡在门外，)",목쩐
숙원인,"宿敌 (宿願-) / [EN] longstanding rival, long-cherished (unfulfilled) wish","올림픽 금메달을 목전에 두고 항상 숙원인 라이벌 린단에게 막혔으나, (眼看就要拿到奥运金牌，却总被那位多年宿敌林丹挡在门外，)",
불굴의,"坚韧不拔的 (不屈-) / [EN] indomitable, unyielding",그는 불굴의 투지로 끝까지 싸웠다. (他凭着不屈的斗志坚持战斗到最后。),불구리
투지,"战斗精神 (鬪志) / [EN] fighting spirit, will to fight",그는 불굴의 투지로 끝까지 싸웠다. (他凭着不屈的斗志坚持战斗到最后。),
받아쓰기,"听写 (----) / [EN] dictation, writing down what is heard",오늘 학교에서 받아쓰기 시험을 봤어요. (今天在学校做了听写考试。),바다쓰기
가라앉다,"平静下来 (----) / [EN] to calm down, to settle down, to subside, to sink",기분이 가라앉았어요. (心情平静下来了。),가라안따
식욕이 줄다,"没有食欲 (食欲---) / [EN] appetite decreases, lose one's appetite",요즘 스트레스 때문에 식욕이 많이 줄었어요. (最近因为压力，食欲下降了很多。),시교기 줄다
상급자,"上级 (上級者) / [EN] superior, senior in rank","상급자와 게임할 때 어떻게 풀어나갈지 고민이에요. (跟上级玩游戏时,该怎么应对真让人头疼。)",상급짜
풀어나가다,"解决/处理 (-----) / [EN] to work through (a problem), to resolve gradually, to handle step by step",상급자와 게임할 때 어떻게 풀어나갈지 고민했다. (思考了和上级一起玩游戏时该如何妥善处理。),
조건절,条件句 (條件節) / [EN] conditional clause,시간이 있으면 연락해 주세요. (如果有时间的话，请联系我。),
배제하다,"排除 (排除--) / [EN] to exclude, to rule out",이 방법은 비용 문제로 배제했어요. (因为费用问题排除了这个方法。),
