Word,Definition,Sentence
적나라,"赤裸裸 / [EN] stark, naked, raw, undisguised, explicit","그 다큐멘터리는 현대 사회의 치열한 경쟁 궤도를 아무런 필터 없이 적나라하게 고발했습니다. (那部纪录片毫无保留地、赤裸裸地揭露了现代社会的激烈竞争轨迹。)"
차례 단결,"按步就班地团结 (次例團結) / [EN] orderly solidarity, step-by-step unity","프로젝트 팀원들은 안내받은 일정의 차례를 지켜가며, 발생한 위기를 극복하기 위해 똘똘 단결했습니다. (项目团队成员们遵守着既定的日程次序，为了克服出现的危机，紧密地团结在了一起。)"
만기,"到期 (滿期) / [EN] maturity, expiration, expiration date","임대차 계약 만기가 다가옴에 따라 현재 거주 중인 집의 계약을 1년 더 연장하기로 결정했습니다. (随着租赁合同到期, 决定将目前居住的房子的合同再延长一年。)"
탈령,"脱离管辖 (脫領) / [EN] desertion, escape from control, AWOL","군 수사 기관은 허가 없이 부대를 이탈하여 탈령(탈영)한 피의자의 소재를 정밀히 추적 중입니다. (军队侦查机关正在精密追捕未经许可脱离部队的逃兵的下落。)"
살생하다,"杀生 (殺生) / [EN] kill a living thing, take a life, slaughter","불교에서는 살아 있는 생명을 함부로 살생하는 행위를 가장 엄격한 규칙으로 금지하고 있습니다. (在佛教中，严厉禁止任意杀生活着生灵的行为规则。)"
마가 껴서,"闹鬼了 (魔-) / [EN] cursed, hexed, bad luck got in the way","진행되던 계약이 마지막 순간에 마가 껴서 어이없게 무산되고 말았습니다. (正在进行的签约在最后的瞬间像是闹鬼 Slaughter 莫名其妙地泡汤了。)"
삶에 굴곡이 많네,"命途多舛 (屈曲) / [EN] life has many ups and downs, a roller-coaster life","그 주연 배우는 어린 시절의 가난과 무명 생활을 딛고 성공한, 참 삶에 굴곡이 많은 인물입니다. (那位主演演员是克服了儿时的贫困和无名生活而获得成功的，确实是个命途多舛的人。) "
성불하다,"成佛 / [EN] attain Buddhahood, achieve one's ultimate lifegoal, die happy with no regrets","그 가수는 데뷔 10년 만에 마침내 가요대상을 수상하며 음악 인생의 오랜 한을 풀고 성불했습니다. (那位歌手出道10年后终于获得了歌谣大赏，释怀了音乐人生的夙愿，功德圆满了。)"
귀담아듣다,"洗耳恭听 / [EN] listen carefully, take someone's advice to heart, give heed to","선생님의 잔소리 같던 조언을 그때 좀 더 귀담아들었더라면, 시행착오의 암흑기를 대폭 줄일 수 있었을 텐데 말입니다. (如果那时能把老师的唠叨般的劝告再倾听一些的话，应该就能大幅减少试错的暗黑期了吧。)"
쩐주,"金主 (錢主) / [EN] financial backer, angel investor, financier","그 영화는 기획 단계부터 든든한 쩐주를 만나 제작비 걱정 없이 화려한 스케일로 촬영에 돌입했습니다. (那部电影从策划阶段开始就遇到了靠谱的金主，在没有制作费担心的情况下，投入到了华丽规模的拍摄中。)"
호락호락하다,"好摆布 / [EN] easy to deal with, gullible, easily swayed","상대 팀 수비진의 조직력이 워낙 탄탄해서, 이번 경기는 결코 호락호락하게 풀리지 않을 것 같습니다. (因为对方球队防守阵型的组织力极其坚固，这场比赛绝不会轻而易举地解决吧。)"
허술하다,"漏洞百出 / [EN] loose, slack, full of loopholes, shabby","도둑은 경비 시스템이 유독 허술해 보이는 건물의 뒷문 우회 경로를 노려 범행을 저질렀습니다. (小偷瞄准了警备系统显得格外虚疏的建筑后门绕行通道，实施了犯罪行为。)"
성전,"圣殿 (聖殿) / [EN] holy temple, sacred sanctuary, shrine","고대 건축가들은 왕의 명령에 따라 수십 년에 걸쳐 신을 경배하기 위한 웅장한 성전을 지었습니다. (古代建筑师们奉国王之命，历时数十年，筑造了敬拜神明的宏伟的圣殿。)"
세상에 공짜 점심 없습니다,"天下没有免费的午餐 / [EN] There is no such thing as a free lunch","높은 배당률만 보고 섣불리 자금을 던져서는 안 됩니다. 세상에 공짜 점심은 없으니까요. (不能只看到高分红率就贸然投入资金。因为天下没有免费的午餐。)"
짜릿하다,"刺激 / [EN] thrilling, electrifying, soul-stirring, exciting","오랫동안 준비해 온 프로젝트 제안서가 마침내 통과되었다는 메일을 받는 순간, 심장이 멎을 듯이 짜릿한 전율이 흘렀습니다. (收到准备已久的项目提案终于获得通过的邮件的瞬间，全身流过了心脏快要停止般感到无比刺激的战栗。)"
횡보장,"横盘震荡 (橫步場) / [EN] sideways market, range-bound market, flat market","지루한 횡보장이 수개월째 지속되면서 개인 투자자들의 거래대금이 급격히 감소하고 있습니다. (随着枯燥的横盘震荡持续了数月之久，个人投资者的交易大额正在急剧减少。)"
