Word,Definition,Sentence,Pronunciation
부문,"项目 (部門) / [EN] category, division, section, field",복식 부문은 타이브레이크 없이 21점 1게임으로 진행됩니다. (双打项目不设抢七，采用21分一局制进行。),
내무부 장관님,"内政部长 (內務部 長官-) / [EN] Minister of Home Affairs (honorific), Minister of the Interior",내무부 장관님께서 오늘 기자회견을 하셨습니다. (内政部长今天举行了记者会。),
찐남매,"真兄妹 (-男妹) / [EN] real (biological) siblings; a duo who act like genuine, close siblings",저 두 아이돌은 방송에서도 진짜 찐남매처럼 편하게 장난친다. (那两个偶像即使在节目上也像真正的兄妹一样自然地开玩笑。),
등짝 스매싱,打后背 (---) / [EN] a hard slap on the back (usually from a scolding parent); internet slang/meme,엄마가 등짝 스매싱을 날렸다. (妈妈狠狠地拍了一下我的背。),
딸바보,女儿控 (----) / [EN] a father (or parent) who dotes excessively on his daughter,우리 아빠는 완전 딸바보예요. (我爸爸完全是个女儿控。),
아들바보,"儿子控 (----) / [EN] a parent who dotes excessively on their son; ""son-obsessed"" parent",우리 아빠는 완전 아들바보야. (我爸爸完全是个儿子控。),
집사와 댕댕이,狗奴才与汪星人 (執事----) / [EN] dog owner (self-deprecating term); doggy (cute internet slang for dog),오늘도 댕댕이와 산책하는 집사입니다. (今天也是遛狗的主人。),
집사와 냥냥이,"铲屎官和猫咪 (執事- ---) / [EN] cat ""butler"" and kitty (internet slang for a cat owner and their cat)","저는 아직 냥냥이가 없지만, 언젠가 좋은 집사가 되고 싶어요. (我还没有猫咪，但希望有一天能成为一个好的铲屎官。)",
남의 편,"别人那一方 (--便) / [EN] someone else's side/team (pun on 남편, husband)",남편이 알고 보니 남의 편이더라. (才发现老公其实是站在'别人那一方'的人。),나메편
살림은 장비빨,装备决定效果 (------裝備-) / [EN] housework depends on having good equipment; the right tools make all the difference,요즘 보니까 진짜 살림은 장비빨이더라. (最近发现做家务真的是靠装备啊。),살리믄 장비빨
